i,name,pre,post,ratio,p,gap_pre,gap_post,n_pos,val,fit_ratio,credible,outcome
784,UAE,0.3016513588439257,0.6364373999860201,2.109844299807423,0.5327868852459017,0.051632369259868256,0.6245505762392735,8,2599731.0,0.8150699392146553,True,A. log US exports
788,Tunisia,0.10426123786731649,0.5925862527347922,5.683667917782841,0.07377049180327869,-0.003632221201933819,0.46394498156479663,13,400593.125,0.2817166186044834,True,A. log US exports
792,Turkiye,0.47447047318895935,0.7616367656107468,1.605235327905057,0.6065573770491803,0.4018706754013607,0.756007858263336,4,8030557.5,1.2820317509040828,True,A. log US exports
804,Ukraine,0.39099492586694573,0.3376240191894614,0.8634997460410873,0.9262295081967213,0.018572506948334514,0.0056772144606763875,7,670192.0,1.0564786171724136,True,A. log US exports
818,Egypt,0.14477851513707996,0.06629243322761412,0.45788861119929825,1.0,-0.0012666272020917676,0.022145333707037196,13,1457169.125,0.3911953719837986,True,A. log US exports
12,Algeria,0.8501045770247384,1.1793298305767173,1.3872761804250329,0.7213114754098361,0.13424718039870306,0.6944874126627523,4,125474.0859375,2.3462024254128586,False,B. log share of US mkt
32,Argentina,0.17998488588684977,0.22442683383018147,1.2469204440381223,0.7868852459016393,0.016860113134884166,0.18607075881309548,7,3627914.75,0.4967400331889931,True,B. log share of US mkt
50,Bangladesh,0.3299177132179026,0.2913109109282974,0.8829805107672217,0.9180327868852459,0.30047832833157445,0.2750026135299769,3,6199558.5,0.9105394322750267,True,B. log share of US mkt
68,Bolivia,0.2568412750013628,0.9918670106063774,3.8617897789251927,0.1885245901639344,0.015681713070134086,-0.9118843787814525,6,802726.5,0.7088558733130929,True,B. log share of US mkt
76,Brazil,1.500739255097665,1.399314768348434,0.9324169828937868,0.8934426229508197,1.4983366619456897,1.3979251725333077,1,20568666.0,4.141888157508373,False,B. log share of US mkt
100,Bulgaria,0.09724408005848102,0.9116076728290678,9.374428471952655,0.02459016393442623,0.003495725790468317,0.747814599432612,7,573555.3125,0.26838379965999287,True,B. log share of US mkt
152,Chile,0.476089614762963,0.5949524612971602,1.249664858985376,0.7868852459016393,0.46394571056553924,0.5839581274135538,2,7215728.0,1.313959057578668,True,B. log share of US mkt
170,Colombia,0.09066739601483782,0.33235712028112524,3.665674044799242,0.21311475409836064,0.012953562730758346,0.21490136819210562,6,2939266.0,0.25023281862613744,True,B. log share of US mkt
191,Croatia,0.09178727619734603,0.6777065581775766,7.383447752828862,0.03278688524590164,0.006314563491665804,0.5557516310516716,11,500533.375,0.2533235743653529,True,B. log share of US mkt
218,Ecuador,0.11041242403804825,0.3673240542311046,3.3268362453895977,0.22950819672131148,0.0036572010510007983,0.29698747503718576,12,1600545.125,0.3047270936717276,True,B. log share of US mkt
288,Ghana,0.24227419566592073,0.2673097309706312,1.1033355419296602,0.8442622950819673,0.006979162774777462,0.23096806845654833,9,104960.28125,0.6686522115617209,True,B. log share of US mkt
