lag,dec,measure,spec,term,N,treated_obs,tol,coef,se,p
3,continuous,n_policies,without,Adv_Dec_US,16886001,6701,1e-06,-0.3681710222906494,0.19136529509821104,0.054364937001397884
3,continuous,share_n_policies,with,DDD_dev,16886001,6701,1e-06,0.2321415093710402,0.05449494304664878,2.045435472552981e-05
3,continuous,share_n_policies,with,DDD_adv,16886001,6701,1e-06,-0.05178949781218282,0.07133068882263628,0.46780939809072963
3,continuous,share_n_policies,with,IPxUS_dev,16886001,6701,1e-06,-0.052524823489024666,0.017062507090984384,0.0020813167027688984
3,continuous,share_n_policies,with,IPxUS_adv,16886001,6701,1e-06,0.0035542800149817094,0.01848707477858333,0.847540455046716
3,continuous,share_n_policies,with,IPxUS_chn,16886001,6701,1e-06,-0.060857831242460476,0.016246466637300633,0.0001797397310345783
3,continuous,share_n_policies,with,Dec_US_chn,16886001,6701,1e-06,-2.010203258903403,0.29004088220186475,4.18598489204669e-12
3,continuous,share_n_policies,with,Adv_Dec_US,16886001,6701,1e-06,-0.27369029604577305,0.17408426048909095,0.11591080561510436
3,continuous,share_n_policies,without,DDD_dev,16886001,6701,1e-06,0.10959547303742219,0.044261496152174666,0.013282987924513101
3,continuous,share_n_policies,without,DDD_adv,16886001,6701,1e-06,-0.04364906038289671,0.06153653479621973,0.47812626756494914
3,continuous,share_n_policies,without,IPxUS_chn,16886001,6701,1e-06,-0.05933807317807388,0.016163520047681092,0.0002414986025558452
3,continuous,share_n_policies,without,Dec_US_chn,16886001,6701,1e-06,-2.0918759868088896,0.2902674189615758,5.730971253115058e-13
3,continuous,share_n_policies,without,Adv_Dec_US,16886001,6701,1e-06,-0.3528961532692312,0.17800523556757333,0.047422821365157075
3,continuous,share_frac_policies,with,DDD_dev,16886001,6701,1e-06,0.131578490746384,0.042635815520286106,0.002027989977282596
3,continuous,share_frac_policies,with,DDD_adv,16886001,6701,1e-06,-0.019650492533842635,0.023708570616795963,0.40719779437037706
3,continuous,share_frac_policies,with,IPxUS_dev,16886001,6701,1e-06,-0.030302012235496494,0.015484207527432296,0.05035188681712177
3,continuous,share_frac_policies,with,IPxUS_adv,16886001,6701,1e-06,0.005812385745644751,0.009888578516308243,0.5566747383301718
3,continuous,share_frac_policies,with,IPxUS_chn,16886001,6701,1e-06,-0.09088197915726698,0.07357153691163916,0.21672362909211218
3,continuous,share_frac_policies,with,Dec_US_chn,16886001,6701,1e-06,-2.2173016004563393,0.291151729471152,2.6201263381153694e-14
3,continuous,share_frac_policies,with,Adv_Dec_US,16886001,6701,1e-06,-0.38105278741184023,0.17442938019449053,0.02892055941961491
3,continuous,share_frac_policies,without,DDD_dev,16886001,6701,1e-06,0.05929156042889354,0.03182332934785823,0.06244149958553358
3,continuous,share_frac_policies,without,DDD_adv,16886001,6701,1e-06,-0.0062926560917872295,0.011695234044298019,0.5905404395885254
3,continuous,share_frac_policies,without,IPxUS_chn,16886001,6701,1e-06,-0.08943552638065265,0.07317633062469815,0.22163502586186334
3,continuous,share_frac_policies,without,Dec_US_chn,16886001,6701,1e-06,-2.244807383287181,0.2910864143031785,1.2434497875801753e-14
3,continuous,share_frac_policies,without,Adv_Dec_US,16886001,6701,1e-06,-0.41341978057682266,0.1752179863216631,0.018301567703435273
