num,den,share_den,loo_b,dose,ctry,sector,pct_dose
-0.04222526786780492,0.0007582732514289238,4.426363587442123e-06,0.02872922667350264,1.5032461533337482e-06,Argentina,1622,62.45644599303136
-0.010397423923909183,0.00015916442855945978,9.291104884208929e-07,0.028727367742084207,0.00011288729729130864,Argentina,1629,82.9461866047232
0.05403316968547182,0.005418452344280471,3.162981169626767e-05,0.028723615472521995,0.0001921892398968339,Argentina,1701,86.89508323654665
0.07210559031408328,0.0047257057429296555,2.7585955044638233e-05,0.02872255934660487,2.04287812266557e-06,Argentina,1702,63.085559427022844
-0.06540794871915166,0.01421757282788979,8.29940216783142e-05,0.028730602518240618,4.055860699736513e-05,Argentina,1709,75.39682539682539
-0.012569496001949862,0.0002800188405137574,1.6345891103400465e-06,0.028727494737840326,3.0486668038065545e-05,Argentina,1811,73.92566782810685
0.1954342498740601,0.002402492110400756,1.4024368625103329e-05,0.02871535623178098,0.0005699759931303561,Argentina,1920,93.26364692218351
3.064004833439111,18.132800376145582,0.105848870670405,0.028578151185190408,0.005084943026304245,Argentina,2011,99.10956252419668
0.23243607652528428,0.318339431474198,0.001858282703852566,0.028713725832782835,0.0010471000568941236,Argentina,2013,96.2059620596206
0.18780523343857297,0.0030675707620629327,1.7906715682651496e-05,0.028715802684838854,9.58677483140491e-05,Argentina,2022,81.55245838172668
-1.1844835410724683,2.378527406365366,0.013884476451502082,0.02879990259285414,0.0013830479001626372,Argentina,2023,97.25125822686799
1.6591314648930324,0.442331906577446,0.002582079535508688,0.028630649236806017,0.00018477854609955102,Argentina,2029,86.58536585365853
0.33921007506774314,0.00409574480031992,2.3908604996190924e-05,0.028706966261436134,0.0004579225496854633,Argentina,2100,92.21835075493613
-0.00013431213081974494,0.00011973993922791703,6.989729704459514e-07,0.028726768574466238,3.086776632699184e-05,Argentina,2211,74.00309717382888
-0.08036864724063766,0.01780572231415852,0.000103939576862266,0.02873148185656406,6.0033442423446104e-05,Argentina,2219,78.22299651567944
-0.4463155257304168,0.6604399299000295,0.003855268865008008,0.02875392241047548,0.0010842169867828488,Argentina,2220,96.38017808749517
0.0853367566520298,0.009749620168732726,5.6912681048614056e-05,0.028721795410083222,7.24343626643531e-05,Argentina,2310,79.59736740224545
0.08276416896285282,0.007587309186086126,4.429035185491408e-05,0.028721941957677445,1.0764674698293675e-05,Argentina,2391,68.46689895470384
-0.08713554509935378,0.0005570716871011002,3.251864452204526e-06,0.028731847940122946,2.394633338553831e-05,Argentina,2392,72.33836624080526
-0.030270663524953886,6.573697878347401e-05,3.8373471395344237e-07,0.028728527670965776,6.14287710050121e-05,Argentina,2393,78.3778552071235
-0.003560337769782958,0.0064593746351570645,3.77061179842851e-05,0.028726979197195652,4.059871116623981e-06,Argentina,2395,64.53735965931088
0.07496604418419599,0.006564443881201448,3.831945187674992e-05,0.028722395452614433,6.468857918662252e-06,Argentina,2396,66.26016260162602
