pre,post,ratio,tau_scm,tau_aug,corr,gap_pre,n_pool,n_cand,i,k,name,p_aug,fit_x,meas
0.6936795099444599,1.0702689849541043,1.5428868369483717,-0.9123850093816559,-0.7372348028368262,-0.17515020654482968,-0.2031397564024212,20,640,32,2512,Argentina,0.4358407079646018,1.3049149719664757,vol
0.17019671146732418,0.9800685837515067,5.758446066918682,-0.771628639156831,-0.7662232814897063,-0.005405357667124644,0.005606932591479718,20,291,32,2593,Argentina,0.22695035460992907,0.32016548534200134,vol
0.14894379736230468,0.5358919740604926,3.597947571841071,-0.25688707390727616,-0.2973607819823796,0.04047370807510341,-0.007109683724041274,20,210,32,2599,Argentina,0.6967213114754098,0.2801855732702466,vol
0.4551033297544951,1.087658579865676,2.389915671354046,-0.2551373139080755,-0.022696350615285382,-0.2324409632927901,-0.13725632799376372,20,812,32,2610,Argentina,0.9862637362637363,0.8561174725140512,vol
0.1382988377619817,0.7072473520697048,5.113906693033155,0.5866530831433276,0.5823261876764919,0.004326895466835709,-0.0060001279167631975,20,171,32,2620,Argentina,0.33636363636363636,0.260160811172903,vol
0.18025646163046882,1.0245408065857748,5.683795173379773,1.0077235948385983,0.865747727110153,0.1419758677284453,-0.00931371287273084,20,195,32,2630,Argentina,0.2,0.3390893809075208,vol
0.149230484755721,0.8384013436356199,5.618164043412573,-0.5843722944558951,-0.5707355329415499,-0.013636761514345251,-0.021362658731787765,20,357,32,2640,Argentina,0.3442622950819672,0.2807248751619415,vol
0.10415320716363881,0.35128316341600974,3.37275416650489,0.22320715983466377,0.3275505566015979,-0.10434339676693412,-0.0010064337316554922,20,621,32,2651,Argentina,0.6621621621621622,0.19592776989627403,vol
0.19955303012592596,0.7093462493306879,3.5546754107570404,-0.5598377906382899,-0.6425179496657171,0.08268015902742717,-0.024782076456599314,20,660,32,2660,Argentina,0.3630952380952381,0.3753891141075323,vol
0.2667296754874032,0.7160077517467108,2.684394791986787,0.41733848487550573,0.11017758592980914,0.3071608989456966,-0.04417327343542224,20,568,32,2710,Argentina,0.9196787148594378,0.501758437465076,vol
0.3274296743646477,0.984160375623168,3.005715280793826,-0.6525595492541214,0.18521371952650045,-0.8377732687806219,-0.013555256464353727,20,348,32,2732,Argentina,0.8724137931034482,0.615944219512475,vol
0.7049900326918648,1.0060708648409615,1.4270710480820263,0.4083595000442011,0.2809793241681081,0.127380175876093,-0.06529911342557808,20,316,32,2750,Argentina,0.7858719646799117,1.3261917579494402,vol
0.14040841801918813,0.3569846696107679,2.542473411829073,-0.07854349324301435,-0.0749879644413788,-0.0035555288016355566,-0.025021844068732726,20,334,32,2790,Argentina,0.9557522123893806,0.2641292473494508,vol
0.18676070293150573,1.8515894089859348,9.914234525370164,-1.145643239157578,-1.124884906794712,-0.020758332362866058,0.0018108631211155883,20,839,32,2811,Argentina,0.1282051282051282,0.35132483219782246,vol
0.3344800119831372,0.5545832809661809,1.6580461046926183,-0.3621623908190736,-0.21663280717547523,-0.14552958364359836,-0.0635890443968793,20,660,32,2812,Argentina,0.8327645051194539,0.6292069597028578,vol
0.13291620911126373,0.2635168207520876,1.9825785170527888,-0.025852985573846965,0.3304147294187446,-0.3562677149925916,0.002899553227448988,20,296,32,2813,Argentina,0.6372549019607843,0.2500352811346581,vol
0.13298892414231617,0.6048397909331014,4.548046349227104,-0.09221151020656837,-0.286473679903134,0.1942621696965656,0.02553552125875822,20,409,32,2814,Argentina,0.7549019607843137,0.2501720689903567,vol
0.20985525544307332,1.3423432119343286,6.396519396667963,1.29371879196206,1.3205525328134065,-0.026833740851346304,-0.027125514773999625,20,556,32,2816,Argentina,0.11602209944751381,0.39476914172575334,vol
0.4867736648585592,0.8079100153627573,1.6597241668723184,-0.5457589747190177,-0.2689139551084899,-0.27684501961052776,-0.06370078159291535,20,301,32,2818,Argentina,0.7973684210526316,0.9156941125214771,vol
