name,pre,fit_x,tau_scm,tau_aug,corr,p_scm,p_aug,credible,spec
Kenya,1.6578399030318176,3.961744506427218,0.4777975082397461,0.7538206499728854,-0.27602314173313935,0.46788990825688076,0.42201834862385323,False,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Romania,0.18864974530342238,0.45081680729721435,0.324075363142585,0.06279662649859585,0.26127873664398915,0.5871559633027523,0.8715596330275229,True,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Bolivia,0.12722317589585277,0.3040255680140575,-0.20335677765726778,-0.25568910850000337,0.052332330842735586,0.7155963302752294,0.6788990825688074,True,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Nigeria,1.5434003896509836,3.6882680913490233,-0.9558614734169115,-1.986570641482953,1.0307091680660414,0.24770642201834864,0.13761467889908258,False,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Pakistan,0.25081503455311366,0.5993733673878643,0.44438266842623797,0.17403787331138604,0.27034479511485193,0.48623853211009177,0.7706422018348624,True,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Tunisia,0.10393625258730844,0.24837674431250445,-0.014870319840307289,-0.02303272608020484,0.00816240623989755,0.981651376146789,0.9724770642201835,True,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Argentina,0.21433822627478372,0.5122046398500647,-0.312477464265136,-0.30956553941372666,-0.0029119248514093456,0.5963302752293578,0.6513761467889908,True,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Colombia,0.0641037047183339,0.15318879678613803,0.4133826159084677,0.42114865097003196,-0.007766035061564277,0.5137614678899083,0.5688073394495413,True,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Bulgaria,0.1466807810679638,0.35052345979351557,0.1877718089808642,0.0830990716173795,0.1046727373634847,0.7339449541284404,0.8440366972477065,True,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Ecuador,0.1047912832846529,0.2504200134857438,0.8586241987204772,0.8620673878820045,-0.003443189161527338,0.27522935779816515,0.3486238532110092,True,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Nepal,0.2771969503652445,0.6624183030578249,-0.7447908784023127,-0.7024637207436565,-0.04232715765865622,0.30275229357798167,0.44036697247706424,True,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Croatia,0.11032802462129059,0.2636511792538125,0.23089149659603336,0.17105990234283255,0.059831594253200816,0.6697247706422018,0.7798165137614679,True,"C. log US exports, decoupling sectors | (i)  HIGH pol_per_bn vs ZERO"
Kenya,0.09592952093130888,0.48600681877891727,-0.2831094653580415,0.21064424492503736,-0.49375371028307885,0.6923076923076923,0.7692307692307693,True,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Romania,0.15668406353922473,0.79380697969481,-0.5095556067821505,0.035246573838320416,-0.5448021806204709,0.38461538461538464,1.0,True,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Bolivia,0.5034473336454688,2.550610434330916,-0.869351818367095,-0.1778787118769427,-0.6914731064901523,0.38461538461538464,0.8461538461538461,False,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Nigeria,1.8774809760990425,9.511863998207733,-1.4704679965512977,-2.0228000898686953,0.5523320933173975,0.15384615384615385,0.15384615384615385,False,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Pakistan,0.15638120893827834,0.792272630312789,-0.15923637368985766,-0.1547103404612594,-0.004526033228598261,0.7692307692307693,0.8461538461538461,True,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Tunisia,0.2023932257492633,1.0253828731119943,-0.5607640200104189,-0.3128493651862226,-0.24791465482419633,0.38461538461538464,0.6923076923076923,True,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Argentina,0.3016781179318765,1.5283889773229355,-0.47321065724893074,-0.3842511620516258,-0.08895949519730495,0.38461538461538464,0.6923076923076923,True,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Colombia,0.06274563823565067,0.31788762974222956,0.11655936923083132,0.1300622685848453,-0.013502899354013978,0.8461538461538461,0.8461538461538461,True,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Bulgaria,0.15125131591768723,0.7662831021320019,-0.5786183801833289,0.3642595283107981,-0.942877908494127,0.38461538461538464,0.6923076923076923,True,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Ecuador,0.14841018144625873,0.7518890896030451,0.2483154121623432,0.9342305289043763,-0.6859151167420331,0.6923076923076923,0.15384615384615385,True,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Nepal,0.2821021783587794,1.4292115809994217,-0.8558696014165648,-0.5005655515408567,-0.35530404987570813,0.38461538461538464,0.46153846153846156,True,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Croatia,0.1934815881897656,0.9802339285706835,-0.6497642424523118,-0.7374549690486253,0.08769072659631348,0.38461538461538464,0.23076923076923078,True,"C. log US exports, decoupling sectors | (ii) HIGH pol_per_bn vs LOW users"
Pakistan,0.1142760051010378,0.2557792241331495,0.09400181598116461,0.050595496538024004,0.043406319443140606,0.9508196721311475,0.9836065573770492,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
Ecuador,0.1399294945208494,0.31319836137290397,0.06811855414747481,0.07216066852934783,-0.0040421143818730135,0.9672131147540983,0.9754098360655737,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
Croatia,0.0943903128680943,0.21126990718427852,0.3006191869116006,0.4904494741548677,-0.1898302872432671,0.7622950819672131,0.6311475409836066,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
Bulgaria,0.11037072449229869,0.2470381971499053,0.34000228594226334,0.4460856895619972,-0.10608340361973383,0.7213114754098361,0.6721311475409836,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
Romania,0.16480681251425167,0.3688802264262027,0.13987796402816,0.2263053864769189,-0.08642742244875891,0.9180327868852459,0.819672131147541,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
Indonesia,0.15366808067261417,0.34394886672595565,-0.12333891836411037,-0.09320964857504924,-0.030129269789061133,0.9180327868852459,0.9426229508196722,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
Argentina,0.23755549284837904,0.5317105685975237,0.10089121794960132,-0.29091823909534886,0.3918094570449502,0.9426229508196722,0.7295081967213115,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
