pre,post,ratio,tau_scm,tau_aug,corr,gap_pre,n_pool,n_cand,i,k,name,meas,p_scm,p_aug,fit_x,credible
0.6692302884322521,0.8887326672803695,1.3279922959887644,-0.4047744577617376,-1.5300824382119305,1.1253079804501929,0.06260625629334085,20,261,76,2720,Brazil,vol,0.7580645161290323,0.19959677419354838,1.2657417069403307,True
0.14891744444199645,0.7906111888837056,5.3090569197327975,0.295181522435394,0.29058507334489103,0.004596449090502945,-0.004970944875394875,20,645,76,2731,Brazil,vol,0.0907258064516129,0.7721774193548387,0.2816534511053976,True
0.3185398963685419,0.3525726774040638,1.1068399325280964,0.29153304023401816,0.29187230583409407,-0.0003392656000759037,0.0017354309643398125,20,213,76,2750,Brazil,vol,0.8306451612903226,0.7681451612903226,0.6024671015752003,True
0.09180767216538199,0.2751784254401718,2.9973358320693113,0.21330998287105984,0.15953122020466945,0.05377876266639039,0.015356960423716582,20,183,76,2790,Brazil,vol,0.27419354838709675,0.8608870967741935,0.17363948058754455,True
0.40689055217886644,0.49117875587023474,1.2071520295568714,0.473901393323672,0.4735635388234291,0.00033785450024287003,0.10191478526040579,20,543,76,2811,Brazil,vol,0.8024193548387096,0.6209677419354839,0.769568190434508,True
0.46918282044888276,0.9038363839061055,1.9264055385518493,-0.01291443907195955,0.2917820651902873,-0.30469650426224687,0.03756865741156045,20,250,76,2812,Brazil,vol,0.5524193548387096,0.7681451612903226,0.8873840205488039,True
0.49243895961289874,0.2881365297818433,0.5851213112958091,-0.019508835916504097,-0.15406981999023878,0.13456098407373468,0.3477262700841408,20,166,76,2813,Brazil,vol,0.9637096774193549,0.8649193548387096,0.931369276134383,True
0.17002652644706956,0.3253278547323768,1.91339470099481,-0.16861920521471063,-0.19244286910510472,0.023823663890394073,0.09532988306070483,20,169,76,2814,Brazil,vol,0.5544354838709677,0.8407258064516129,0.3215778925882183,True
0.31405291843698374,0.6505711489280133,2.071533524241245,0.45278320738534816,0.4248244293545876,0.02795877803076057,0.05364897930497117,20,655,76,2815,Brazil,vol,0.4939516129032258,0.6532258064516129,0.5939807027910112,True
0.23605446232775953,0.3204906099291792,1.35769773961816,-0.21801752997611779,-0.24627267889993595,0.028255148923818165,0.006791627295578483,20,403,76,2816,Brazil,vol,0.7399193548387096,0.8064516129032258,0.4464591385688112,True
0.3317441846026981,1.1641537270012166,3.5091910605619954,0.4714475493469017,0.8957904880640519,-0.4243429387171503,0.017348576092112176,20,320,76,2817,Brazil,vol,0.22379032258064516,0.3951612903225806,0.6274408940309866,True
0.3138403629445532,0.6154589398791978,1.9610573162252305,0.5732036929685425,0.2220433590891855,0.35116033387935697,0.012457532532434938,20,178,76,2818,Brazil,vol,0.532258064516129,0.8245967741935484,0.5935786881833957,True
0.14636363039291175,0.5423189820667855,3.7052851217951854,0.5236924505951794,0.5777787525334546,-0.054086301938275176,0.01670167246770905,20,185,76,2819,Brazil,vol,0.1935483870967742,0.5463709677419355,0.2768233216125005,True
0.30577449867021333,0.6937987400308957,2.2689882349514625,0.6189133493803229,0.7223328811595582,-0.1034195317792352,0.010065350715676692,20,522,76,2821,Brazil,vol,0.4435483870967742,0.46169354838709675,0.5783234001442538,True
0.3716982218634028,0.2634651790475376,0.7088147415038205,0.09356621651983588,-0.02418658746043277,0.11775280398026865,0.045145144912366646,20,367,76,2822,Brazil,vol,0.9475806451612904,0.9778225806451613,0.7030075445482418,True
0.20660472027896726,0.25025981842017486,1.2112976803350013,0.20838769110612532,0.2191391291190917,-0.010751438012966385,0.038204407945917396,20,491,76,2823,Brazil,vol,0.8024193548387096,0.8266129032258065,0.3907596769423605,True
0.4715525092185822,0.5958896962318397,1.2636762281666125,0.45507027814058176,-1.1710444877043127,1.6261147658448944,0.28897604936287813,20,157,76,2824,Brazil,vol,0.7903225806451613,0.30443548387096775,0.8918659066201937,True
0.15627874196382596,0.5055038451648838,3.2346296035700965,0.4387125870618416,0.41685803156484985,0.021854555496991734,0.008548854970497772,20,569,76,2825,Brazil,vol,0.24798387096774194,0.657258064516129,0.29557616418582827,True
0.14743308029256957,0.25661661055670953,1.7405633121649067,-0.20180318555285304,-0.2293837354238657,0.027580549871012654,0.0030347965168489436,20,466,76,2826,Brazil,vol,0.6129032258064516,0.8185483870967742,0.27884601449547075,True
0.3682571199596763,0.2688424186017465,0.7300399748718625,0.1254463192638653,0.12450880909837693,0.0009375101654883678,0.011544539407797478,20,499,76,2829,Brazil,vol,0.9415322580645161,0.8911290322580645,0.6964992524510898,True
0.7835761755315739,1.2581415721378626,1.6056404104991402,-0.6395874726539024,-1.2257200041827887,0.5861325315288862,0.03566709032153719,20,238,76,2910,Brazil,vol,0.6491935483870968,0.2782258064516129,1.482008604629247,True
0.44428652577247296,1.5889425896717877,3.576391579531074,0.8874658167213472,1.4733490894039427,-0.5858832726825957,-0.007993788991803525,20,348,76,2920,Brazil,vol,0.21370967741935484,0.21370967741935484,0.8402966739882806,True
0.663508850236488,0.49588027799202333,0.7473604576868591,-0.3807809824965869,-0.654473842715227,0.2736928602186401,0.5968268465962303,20,134,76,2930,Brazil,vol,0.9375,0.5060483870967742,1.2549205246459294,True
0.941021620726969,1.6088180553864722,1.7096504691822163,-1.512591765493367,-0.356755240081136,-1.155836525412231,0.09732791920190782,20,533,76,3011,Brazil,vol,0.6229838709677419,0.7056451612903226,1.779791400770241,True
0.9795128473369014,0.49859001194512015,0.5090183485603953,-0.18334706684535895,0.0956122243285818,-0.27895929117394075,0.26600278790900506,20,558,76,3020,Brazil,vol,0.969758064516129,0.9193548387096774,1.852591379661834,True
0.5633412075317151,0.3141233918772819,0.5576076943733914,-0.059773703148399804,-1.0526924947963452,0.9929187916479454,0.24047755065251053,20,24,76,3030,Brazil,vol,0.969758064516129,0.3407258064516129,1.0654695012107234,True
