k,n_tr,n_don,npre,rmse_omega,rmse_uniform,resid_slope_omega,resid_slope_uniform,w_max,w_eff_n
2511,20,15,12,0.20716279894142495,0.22898810294561395,0.008626727137674307,0.009441494392904148,0.07609250181254733,14.941861501177508
2512,14,16,12,0.5078225521193849,0.6038397173474379,0.10570461177700252,0.1279217186872359,0.09683676579382641,15.007780406215023
2610,21,37,12,0.16191104738844359,0.21199400421782874,0.018361538853661187,0.03335456248493189,0.03321396864291577,36.64823327222789
2620,23,58,13,0.1580861481624691,0.2262573060789442,0.01997495075827365,0.03753907240534783,0.024977951093587712,56.43712396328232
2630,25,51,17,0.17993392482295512,0.3064800825324278,0.017496373372539696,0.04868701458197867,0.033414632445247686,46.37290179820292
2640,20,26,16,0.16254801441880282,0.24237375574932044,-0.020486786698896836,-0.0356322309090777,0.04669484333049579,25.43462745181987
2651,20,67,14,0.1113303894739657,0.16831246872028968,-0.009045338672013892,-0.02359401378960856,0.022512859555629948,65.26269313574053
2652,13,19,12,0.3621686993806572,0.450501178541429,0.06888567960508336,0.09239490991914187,0.06484965563062262,18.55989645522794
2660,16,22,12,0.25397324644777935,0.2830524389274016,0.0051176652539449505,0.01038230989703838,0.05220345679885357,21.709779362644735
2710,26,50,15,0.17406868732077063,0.2183441886108023,0.0012583944417846923,0.0011660803322280716,0.025090231879454243,49.152682722903826
2731,12,17,13,0.5032182277801673,0.7145270461948426,0.08514163205768474,0.14339109174497833,0.09842679933686309,14.61396266094579
2732,21,22,13,0.26825034498739414,0.31318704625953003,0.004081268022396143,0.0016099389020975449,0.05874480096899525,21.707606530673008
2740,18,36,15,0.19427591195066093,0.2757159659352625,0.019281170415744998,0.0442642873943976,0.040151649102619084,34.870575682880386
2790,24,40,14,0.19151306219654637,0.22505135685240843,0.02093754895791856,0.027534983629913416,0.03318705928714743,39.45644548387811
2811,15,20,14,0.2876190412581879,0.3076254365449202,-0.02177317081598037,-0.024752077427539255,0.05760321785813267,19.90327955965908
2812,17,20,16,0.34614657440336655,0.38638387006266794,0.01196137855910767,0.017683027873144384,0.07253378030557638,19.252683458267843
2814,18,24,16,0.19143469931011967,0.24184925674641053,-0.0032965246404911015,-0.009519878968450338,0.05290231944398486,23.182704065090547
2816,20,16,17,0.34266595927719584,0.47265031329497337,0.03872470890132501,0.05514504165644305,0.09576214652789009,14.621193670593742
2817,15,17,12,0.32407191362622023,0.3827922468245577,0.00607395716700801,-0.004180244100404681,0.06604289707951849,16.765293307039475
2818,11,14,15,0.2789434682712789,0.358307249404105,-0.013725395655657079,-0.026916153304164792,0.08446883079358389,13.726483318660753
2819,26,41,16,0.10582539872039474,0.16664051997004026,0.011380797591809334,0.023021861938612765,0.031090241791441982,40.21583040686406
2821,13,13,16,0.3430233757814996,0.4537306004454988,0.04746518214422251,0.06942460727098303,0.09601823449986588,12.634926061682563
2822,17,20,16,0.33068493215168826,0.46029565396774014,0.03376007815468608,0.054780679218032736,0.06893014511649787,18.54650070477749
2826,16,12,10,0.4691884669229393,0.5167740505886684,0.08437520363705228,0.09025691244939367,0.090510211581344,11.914639976719057
2920,11,17,16,0.3616094838152007,0.4329390567777017,-0.007932954443380609,-0.01962183550979854,0.07748856670457668,16.356868716494585
3100,18,53,13,0.1682255962999001,0.2368078222349204,0.005514350588965696,0.0060588120904399865,0.029402815389427336,50.07235045107271
3211,20,51,15,0.32335283769833106,0.5458001923467402,-0.038888922132017,-0.09308609396887095,0.04111210622459141,41.09364994528284
Wastes,13,19,14,0.3550919648760339,0.4642186257757538,0.06968362953311132,0.10225313190519465,0.07218450234398328,18.234109972054615
