sector,donor,w,rmse,n_don,n_tr,treated
1020,598,0.0,0.04310662896217302,51,17,0.0
1020,604,0.022425388088552444,0.04310662896217302,51,17,0.0
1020,608,0.021865212083542813,0.04310662896217302,51,17,0.0
1020,670,0.025975030348435162,0.04310662896217302,51,17,0.0
1020,686,0.042169528280257336,0.04310662896217302,51,17,0.0
1020,694,0.021622260305111184,0.04310662896217302,51,17,0.0
1020,704,0.03134877555009854,0.04310662896217302,51,17,0.0
1020,710,0.021223844856207607,0.04310662896217302,51,17,0.0
1020,740,0.029993421126603935,0.04310662896217302,51,17,0.0
1020,764,0.025618872348769653,0.04310662896217302,51,17,0.0
1020,780,0.010915173503605565,0.04310662896217302,51,17,0.0
1020,796,0.0065565679008527744,0.04310662896217302,51,17,0.0
1020,800,0.02696168815690335,0.04310662896217302,51,17,0.0
1020,834,0.0,0.04310662896217302,51,17,0.0
1020,858,0.01984948120698806,0.04310662896217302,51,17,0.0
1020,862,0.03780778230682508,0.04310662896217302,51,17,0.0
1020,32,,0.04310662896217302,51,17,1.0
1020,76,,0.04310662896217302,51,17,1.0
1020,100,,0.04310662896217302,51,17,1.0
1020,170,,0.04310662896217302,51,17,1.0
1020,191,,0.04310662896217302,51,17,1.0
1020,218,,0.04310662896217302,51,17,1.0
1020,360,,0.04310662896217302,51,17,1.0
1020,566,,0.04310662896217302,51,17,1.0
1020,586,,0.04310662896217302,51,17,1.0
1020,616,,0.04310662896217302,51,17,1.0
1020,643,,0.04310662896217302,51,17,1.0
1020,699,,0.04310662896217302,51,17,1.0
1020,784,,0.04310662896217302,51,17,1.0
1020,788,,0.04310662896217302,51,17,1.0
1020,792,,0.04310662896217302,51,17,1.0
1020,804,,0.04310662896217302,51,17,1.0
1020,818,,0.04310662896217302,51,17,1.0
1030,4,0.005673774271695803,0.05860287263726278,56,20,0.0
1030,8,0.01351870699270178,0.05860287263726278,56,20,0.0
1030,31,0.01332503297978973,0.05860287263726278,56,20,0.0
1030,50,0.021736222123656595,0.05860287263726278,56,20,0.0
1030,51,0.018640175429927314,0.05860287263726278,56,20,0.0
1030,52,0.009885665807560541,0.05860287263726278,56,20,0.0
1030,70,0.021487767320244384,0.05860287263726278,56,20,0.0
1030,84,0.012963483647594923,0.05860287263726278,56,20,0.0
1030,112,0.025355145733133244,0.05860287263726278,56,20,0.0
1030,120,0.012489845298987081,0.05860287263726278,56,20,0.0
1030,144,0.019854532330804687,0.05860287263726278,56,20,0.0
1030,152,0.015313546146636731,0.05860287263726278,56,20,0.0
1030,170,0.019052298492387605,0.05860287263726278,56,20,0.0
1030,188,0.017180897278677852,0.05860287263726278,56,20,0.0
1030,214,0.0206116158854393,0.05860287263726278,56,20,0.0
1030,222,0.01971216179073513,0.05860287263726278,56,20,0.0
1030,231,0.012177523144036041,0.05860287263726278,56,20,0.0
1030,242,0.022333726909551706,0.05860287263726278,56,20,0.0
1030,258,0.01673760998528979,0.05860287263726278,56,20,0.0
1030,268,0.012827649628926827,0.05860287263726278,56,20,0.0
1030,275,0.007959013479126423,0.05860287263726278,56,20,0.0
1030,288,0.014599238961225166,0.05860287263726278,56,20,0.0
1030,320,0.01883732408555884,0.05860287263726278,56,20,0.0
1030,328,0.007406720246965867,0.05860287263726278,56,20,0.0
1030,332,0.028034464021024226,0.05860287263726278,56,20,0.0
1030,340,0.02484332315947223,0.05860287263726278,56,20,0.0
1030,384,0.012821661506478926,0.05860287263726278,56,20,0.0
1030,388,0.013042231247694673,0.05860287263726278,56,20,0.0
1030,400,0.02078434214664704,0.05860287263726278,56,20,0.0
1030,404,0.015292896535482128,0.05860287263726278,56,20,0.0
1030,422,0.026123878806616024,0.05860287263726278,56,20,0.0
1030,450,0.015199952894461815,0.05860287263726278,56,20,0.0
1030,458,0.031278052332094436,0.05860287263726278,56,20,0.0
1030,484,0.027831480189069845,0.05860287263726278,56,20,0.0
1030,498,0.01444566112580757,0.05860287263726278,56,20,0.0
1030,504,0.023766629058932915,0.05860287263726278,56,20,0.0
1030,508,0.012000757012968462,0.05860287263726278,56,20,0.0
1030,558,0.016701788877386933,0.05860287263726278,56,20,0.0
1030,591,0.013445580544423907,0.05860287263726278,56,20,0.0
1030,600,0.004359537370796098,0.05860287263726278,56,20,0.0
1030,604,0.020473336654337065,0.05860287263726278,56,20,0.0
1030,608,0.026499900827868968,0.05860287263726278,56,20,0.0
1030,688,0.02074127078676448,0.05860287263726278,56,20,0.0
1030,694,0.021723679112699568,0.05860287263726278,56,20,0.0
1030,704,0.027695846835949552,0.05860287263726278,56,20,0.0
1030,748,0.02671387237931867,0.05860287263726278,56,20,0.0
1030,760,0.009992843402783079,0.05860287263726278,56,20,0.0
1030,764,0.03356405702049152,0.05860287263726278,56,20,0.0
1030,768,0.005708096280773957,0.05860287263726278,56,20,0.0
1030,780,0.02228225157582495,0.05860287263726278,56,20,0.0
1030,788,0.017826968413824505,0.05860287263726278,56,20,0.0
1030,807,0.016086257671276544,0.05860287263726278,56,20,0.0
1030,834,0.02134886896451244,0.05860287263726278,56,20,0.0
1030,858,0.019325610430402453,0.05860287263726278,56,20,0.0
1030,860,0.01945644688757026,0.05860287263726278,56,20,0.0
1030,882,0.010908777955591477,0.05860287263726278,56,20,0.0
1030,32,,0.05860287263726278,56,20,1.0
1030,68,,0.05860287263726278,56,20,1.0
1030,76,,0.05860287263726278,56,20,1.0
1030,100,,0.05860287263726278,56,20,1.0
1030,191,,0.05860287263726278,56,20,1.0
1030,218,,0.05860287263726278,56,20,1.0
1030,348,,0.05860287263726278,56,20,1.0
1030,360,,0.05860287263726278,56,20,1.0
1030,566,,0.05860287263726278,56,20,1.0
1030,586,,0.05860287263726278,56,20,1.0
1030,616,,0.05860287263726278,56,20,1.0
1030,642,,0.05860287263726278,56,20,1.0
1030,643,,0.05860287263726278,56,20,1.0
1030,682,,0.05860287263726278,56,20,1.0
1030,699,,0.05860287263726278,56,20,1.0
1030,710,,0.05860287263726278,56,20,1.0
1030,784,,0.05860287263726278,56,20,1.0
1030,792,,0.05860287263726278,56,20,1.0
1030,804,,0.05860287263726278,56,20,1.0
1030,818,,0.05860287263726278,56,20,1.0
1074,50,0.04079517020437348,0.06701608686978594,24,15,0.0
1074,68,0.07062862112458251,0.06701608686978594,24,15,0.0
1074,70,0.04901773158575832,0.06701608686978594,24,15,0.0
1074,152,0.054280509249568724,0.06701608686978594,24,15,0.0
1074,188,0.04680832120414676,0.06701608686978594,24,15,0.0
1074,214,0.04413755540292735,0.06701608686978594,24,15,0.0
1074,222,0.03262435182109637,0.06701608686978594,24,15,0.0
1074,242,0.05885481830688448,0.06701608686978594,24,15,0.0
1074,320,0.04254636348577232,0.06701608686978594,24,15,0.0
1074,328,0.06536729040433337,0.06701608686978594,24,15,0.0
1074,332,0.056914236947704915,0.06701608686978594,24,15,0.0
1074,340,0.01837570960188662,0.06701608686978594,24,15,0.0
1074,400,0.05917039558543365,0.06701608686978594,24,15,0.0
1074,422,0.016897793262998242,0.06701608686978594,24,15,0.0
1074,458,0.04014014495574185,0.06701608686978594,24,15,0.0
1074,484,0.02750725871677232,0.06701608686978594,24,15,0.0
1074,504,0.043687290102508936,0.06701608686978594,24,15,0.0
1074,604,0.059355125686744566,0.06701608686978594,24,15,0.0
1074,608,0.02259026285757595,0.06701608686978594,24,15,0.0
1074,704,0.037587862717235986,0.06701608686978594,24,15,0.0
1074,764,0.017613204535760898,0.06701608686978594,24,15,0.0
1074,780,0.05800320419505347,0.06701608686978594,24,15,0.0
1074,807,0.005153344592507966,0.06701608686978594,24,15,0.0
1074,858,0.03194343345263089,0.06701608686978594,24,15,0.0
1074,32,,0.06701608686978594,24,15,1.0
1074,76,,0.06701608686978594,24,15,1.0
1074,191,,0.06701608686978594,24,15,1.0
1074,218,,0.06701608686978594,24,15,1.0
1074,348,,0.06701608686978594,24,15,1.0
1074,360,,0.06701608686978594,24,15,1.0
1074,586,,0.06701608686978594,24,15,1.0
1074,616,,0.06701608686978594,24,15,1.0
1074,642,,0.06701608686978594,24,15,1.0
1074,643,,0.06701608686978594,24,15,1.0
1074,699,,0.06701608686978594,24,15,1.0
1074,784,,0.06701608686978594,24,15,1.0
1074,788,,0.06701608686978594,24,15,1.0
1074,792,,0.06701608686978594,24,15,1.0
1074,804,,0.06701608686978594,24,15,1.0
1080,152,0.01012301983514007,0.44079722399617605,10,6,0.0
1080,188,0.0,0.44079722399617605,10,6,0.0
1080,214,0.26846487417567677,0.44079722399617605,10,6,0.0
1080,458,0.12613944219014317,0.44079722399617605,10,6,0.0
1080,484,0.0,0.44079722399617605,10,6,0.0
1080,600,0.013489809546177515,0.44079722399617605,10,6,0.0
1080,604,0.3729912617029629,0.44079722399617605,10,6,0.0
1080,710,0.20879159254989973,0.44079722399617605,10,6,0.0
1080,764,0.0,0.44079722399617605,10,6,0.0
1080,858,0.0,0.44079722399617605,10,6,0.0
1080,32,,0.44079722399617605,10,6,1.0
1080,76,,0.44079722399617605,10,6,1.0
1080,170,,0.44079722399617605,10,6,1.0
1080,218,,0.44079722399617605,10,6,1.0
1080,360,,0.44079722399617605,10,6,1.0
1080,699,,0.44079722399617605,10,6,1.0
1311,50,0.08508488432208927,0.19081849991105881,17,16,0.0
1311,68,0.013878975932380242,0.19081849991105881,17,16,0.0
1311,144,0.06538448432205357,0.19081849991105881,17,16,0.0
1311,152,0.0,0.19081849991105881,17,16,0.0
1311,188,0.0,0.19081849991105881,17,16,0.0
1311,214,0.04122868924865128,0.19081849991105881,17,16,0.0
1311,222,0.10964274653243497,0.19081849991105881,17,16,0.0
1311,320,0.01882751807438019,0.19081849991105881,17,16,0.0
1311,340,0.10320544757059925,0.19081849991105881,17,16,0.0
1311,458,0.0,0.19081849991105881,17,16,0.0
1311,558,0.04189984578783742,0.19081849991105881,17,16,0.0
