k,grp,ip,Dec,pre,gap_pre,tau,tau_aug,p_aug
1430,LOW,0.0,39.42334,0.20812786896318355,0.13377648483616333,0.2934436847993531,-0.06460267111087886,0.927038626609442
1511,LOW,0.0,3.013252,0.5338503913632663,0.016496013281842522,0.39127161252057796,0.41356966333962525,0.6458333333333334
1512,LOW,0.0,57.74744,0.14265129541147534,0.027227241398602654,-0.12621043757711448,-0.14367074477052855,0.8132530120481928
1610,LOW,0.0,4.67764,0.2608868524061984,0.009489510609397329,1.0184438000431673,0.28203600407103224,0.7122302158273381
1621,LOW,0.0,27.563663,0.214624647830916,0.013453332919015988,2.1117810638310814,2.9179160514984552,0.01680672268907563
1622,LOW,0.0,26.799053,0.6609165048640334,-0.010099538592171407,1.7626151816661224,0.8232791775618176,0.42094017094017094
1623,LOW,0.0,2.2774494,0.4712076016932324,0.002388719440120969,0.897941280044857,0.8204267160900912,0.38929440389294406
1629,LOW,0.0,55.978687,0.09744838406057238,0.006253327928596907,-0.032224206658167276,-0.015447933633891534,1.0
1702,LOW,0.0,44.2175,0.19207576461500617,-0.00760268472725236,0.9886909056362878,0.5952070654090121,0.38073394495412843
1811,LOW,0.0,28.927845,0.30803897465540603,-0.045544837696829626,-0.08954574529152026,-0.12169419890214911,0.8714733542319749
2011,HIGH,0.002580547,13.027546,0.279096303978532,0.0018399411799296737,0.5034004081078347,0.41834418430077697,0.5856164383561644
2021,LOW,0.0,20.131329,1.325740295617127,-0.3003671568395763,1.1669443857684083,-0.10538989222535489,0.9054325955734407
2030,LOW,0.0,23.58012,0.17277807031879147,-0.004033097900048526,1.5214656860422675,1.5565554517040425,0.10606060606060606
2211,LOW,0.0,14.947857,0.9216689904090916,0.06016209563562795,2.050030090216243,0.9806645095942661,0.363265306122449
2220,HIGH,0.00051881355,40.80645,0.14326349492203394,0.025319405810540374,1.3947706126857593,1.3103908304909837,0.1144578313253012
2392,LOW,0.0,32.211178,0.26891952084501364,0.01606233166679629,1.3280215831587334,1.0339259340693037,0.2332155477031802
2393,LOW,0.0,39.47775,0.04406037151843409,0.004822461957902682,-0.031052441452141366,-0.03342683857381945,0.9166666666666666
2399,LOW,0.0,9.748441,0.2035946647025623,0.0014677225226843145,1.1810505973733543,0.9884982088324965,0.2290748898678414
2410,HIGH,0.0135289095,4.815549,0.9549085738093753,0.11382975660075348,1.0487446704889614,1.83891383407642,0.1565040650406504
2420,LOW,0.0,4.853232,0.7271486636456976,0.05874027638305954,1.2613351183656807,1.2648549461234306,0.25690021231422505
2431,LOW,0.0,35.78831,0.4583049115273173,0.0020491563082865646,1.363183014761649,1.408697482057116,0.18362282878411912
2520,LOW,0.0,4.8647413,0.7170147959741111,-0.0336050010587668,-0.2614510024788608,-0.33907190155857103,0.7282377919320594
2593,LOW,0.0,35.254795,0.0984555607504336,0.010949423958238957,0.6978130199413073,0.562961714047187,0.2916666666666667
2599,HIGH,0.0013394124,40.651867,0.24656678756265196,0.05845084417303797,0.5102201379632039,0.36890309041596964,0.6339622641509434
2610,HIGH,0.00044642857,14.218996,1.613784869640505,-0.27644733680729544,2.5459508558550734,-1.4276604093162661,0.23493975903614459
2620,HIGH,0.0016369048,60.268562,0.348448483518947,0.05131277299086792,0.9864024427211842,2.230313015151853,0.06997084548104957
2651,HIGH,0.00034827762,14.161305,0.38022740738282124,0.011716990386428866,1.798818034509985,1.2003452438734765,0.20949720670391062
2652,LOW,0.0,16.630438,1.0725708217338668,-0.24304665209914048,-0.12440391406080842,-0.33708365116441674,0.742914979757085
2660,LOW,0.0,13.691216,0.3093170126399908,0.028516551356503005,1.4393565798899193,2.0972095718518986,0.07523510971786834
2670,LOW,0.0,31.195053,0.16425929985349794,0.004543264624819637,0.80952779683148,0.4462910357866345,0.5080213903743316
