i,name,pre_rmspe,post_rmspe,ratio,p,gap_post,gap_pre,g_US,g_RoW,g_US_pre,g_RoW_pre,held_in,held_out,w_max,n_pos,us_val
710,South Africa,3.9967413539130164e-05,0.45099988275786546,11284.189864233102,0.09230769230769231,0.39838470243985363,8.289287028716159e-07,5.297418853027042,4.899034150587191,5.0219728467943785,5.021972017865673,1.1938844654644366e-16,0.25892459889783803,0.039514904260020065,44,6633166.0
50,Bangladesh,2.6261716387055344e-05,0.25155170282256506,9578.646692969289,0.09230769230769231,0.22537308816114754,1.0989427944434067e-06,4.335565814576606,4.11019272641546,3.7784312533092117,3.778430154883434,0.0,0.18574301476117344,0.04074962453897519,40,6199558.5
616,Poland,8.962414029784759e-15,0.20803460605752588,20803460.605752587,0.023076923076923078,0.1740928017692805,-1.0092936587501423e-16,6.567099492415745,6.393006690646465,6.203551297198845,6.203551297216833,0.0,0.14589168350468457,0.041579415972014776,47,6052428.0
348,Hungary,3.922329685376804e-14,0.34278047195923617,34278047.19592362,0.023076923076923078,0.28303804113186415,-4.844609562000683e-16,5.965379958338049,5.682341917206187,5.768462306510601,5.768462306633098,0.0,0.29601711204693354,0.03288289713665711,45,5330711.5
604,Peru,0.029281013703872292,0.2508154107536003,8.565803537069177,0.4153846153846154,-0.21414994336378448,0.002180834099864276,3.367885683551782,3.582035626915566,3.6348162511076194,3.6326354181067795,0.001623778045967916,0.2808102678892919,0.08501237594490456,21,4102768.0
586,Pakistan,5.219657861773503e-07,0.25898792139333504,496177.96463260474,0.046153846153846156,0.19540297253784192,2.474744538965618e-08,3.966082028991786,3.770679056453943,3.8136696962799705,3.813669672328409,4.1020878899604866e-16,0.09247623208375497,0.035393430159771894,39,3743190.75
32,Argentina,3.832637319306611e-06,0.22582262836150307,58920.94908744411,0.07692307692307693,0.12860462352681978,1.2074411889520772e-07,4.989122399034922,4.860517775508102,5.213543323889502,5.213543203619046,0.0,0.37251445906945657,0.0523904844364905,44,3627914.75
170,Colombia,2.7353428801892025e-05,0.499641116118558,18266.123773265237,0.08461538461538462,0.41627490402601425,6.867858826289173e-07,4.099720244116434,3.683445340090421,3.759023629066718,3.759022942401614,9.614402774046633e-09,0.20095075389153264,0.10120042118887604,32,2939266.0
784,UAE,4.522187616996067e-07,0.15536976477441364,343572.1335189105,0.046153846153846156,0.03399114862007952,1.628063011677677e-08,6.018023371749867,5.984032223129789,5.659415194631933,5.659415179215857,2.6869101144177026e-16,0.24045954797730595,0.03903821863136642,36,2599731.0
642,Romania,4.440892098500626e-16,0.24093131536119075,24093131.536119074,0.023076923076923078,0.21507258958040504,4.0371746350005693e-17,5.109461567585221,4.894388978004817,4.8733449383881835,4.8733449383881835,2.220446049250313e-16,0.044149813159607344,0.023041653438138306,32,2028950.0
218,Ecuador,0.00011920427990899762,0.3803006693524102,3190.3273073981704,0.1076923076923077,0.29707944613693954,5.443219950082315e-06,3.3192723072722794,3.02219286113534,2.8862710158707703,2.8862655726508204,1.865039220391605e-12,0.13865270826871848,0.053923925406555315,35,1600545.125
682,Saudi Arabia,7.999520284486077e-10,0.24160180815526228,24160180.81552623,0.023076923076923078,0.055384067835775576,1.1659844806837844e-11,5.070784589255076,5.015400521419299,5.111766617966788,5.11176661827578,0.0,0.3218155686635036,0.03711798102941698,37,1478579.625
818,Egypt,1.0942553643763863e-12,0.22560880542762038,22560880.542762037,0.023076923076923078,0.16341936421835665,1.9055464277202686e-14,4.0161382698324966,3.852718905614138,3.836754956033701,3.8367549560917285,2.967195843610875e-17,0.10631125177788474,0.018734132185125988,43,1457169.125
504,Morocco,3.2095293160688594e-12,0.18126454428482713,18126454.42848271,0.023076923076923078,0.12523385728089503,-5.95685117394334e-14,4.255425176970212,4.130191319689318,3.816107897940787,3.816107897940846,0.0,0.10280039670338764,0.03902236590399445,43,941007.0625
68,Bolivia,0.08204811703737862,0.8376651783124817,10.209438175538715,0.36923076923076925,-0.7224675846037033,0.0038653702295934245,2.9299113073611127,3.652378891964816,3.342222260982126,3.338356890752532,1.0715609572558638e-09,0.49354110730732315,0.17437980226798003,14,802726.5
634,Qatar,2.603669568994288e-06,0.40932883360971933,157212.2816520952,0.046153846153846156,0.038887207447768635,6.811589284535816e-08,4.331312030075332,4.292424822627564,4.308433207507601,4.308433139803025,0.0,0.6657652716780725,0.052596114968772735,41,733645.0
804,Ukraine,0.0015690021935550725,0.6452670671068067,411.2595060461639,0.13846153846153847,0.6230066164121645,2.4500147474732454e-05,4.870946338680647,4.247939722268483,5.094880439135255,5.094855938987781,8.269237845702684e-14,0.32724218859217413,0.07818294510212377,29,670192.0
100,Bulgaria,2.6507876986810495e-13,0.25380657370606524,25380657.370606523,0.023076923076923078,0.22450829370869424,-2.34156128830033e-15,4.415647796409416,4.191139502700722,4.041891884921068,4.041891885087433,0.0,0.08594940028924249,0.02749910685821688,41,573555.3125
191,Croatia,1.9042601384927493e-13,0.2186817957897638,21868179.578976378,0.023076923076923078,0.14054146806182624,-4.239033366750598e-16,3.5442325447098457,3.4036910766480193,3.4016474834710393,3.401647483621544,0.0,0.09378956906204455,0.031276162266542354,38,500533.375
404,Kenya,0.014870567290053947,0.17103197319590602,11.501375156702952,0.3384615384615385,-0.09325519089003985,0.0014208166128012558,2.77380965976541,2.86706485065545,2.5749834104985343,2.573562593885733,0.0005197068855870655,0.23458748451308947,0.13415549877615168,23,429425.90625
788,Tunisia,3.296716122474707e-10,0.38350767315738105,38350767.315738104,0.023076923076923078,0.3075131800357647,2.516169091264105e-12,4.010798469430465,3.7032852893947004,3.879790180896508,3.879790181320437,0.0,0.21354096047051083,0.04486111932136287,41,400593.125
566,Nigeria,0.47507178857795296,0.7376818803498392,1.552779807359147,0.8538461538461538,-0.0725627691874615,0.02171172967160613,3.1164213734485102,3.1889841426359715,3.4287157778211292,3.4070040495217353,0.5287398337639164,0.5546651282210536,0.40723361078913894,9,399434.15625
688,Serbia,0.0013035962418896539,0.5771803011697709,442.76002233107675,0.13846153846153847,0.5205840480756739,-5.856858306379548e-05,4.902260932532159,4.381676884456485,4.1271913066203165,4.127249875709405,6.627829335615704e-11,0.21762493299931987,0.12446844968488563,23,302450.90625
12,Algeria,0.4127979936696736,0.7409887340475156,1.7950395724075747,0.8153846153846154,0.5645043583768222,0.019150755290736236,2.8291691456625014,2.264664787285679,2.8503531779911095,2.8312024227003736,0.32202916038405005,1.3512719204896413,0.26688467466377996,7,125474.0859375
508,Mozambique,0.5805236304749513,0.3457980476346753,0.595665756709616,1.0,-0.11136033274320464,-0.06889083575055803,2.7477457321615377,2.8591060649047435,2.5739934124545996,2.642884248205157,0.5706663399488574,2.520095906131299,0.34684864595057463,6,111626.125
288,Ghana,0.03836209832331901,0.8788325239043063,22.90887522620456,0.2692307692307692,0.7695038076545392,0.00025723267083401576,3.0965034589203992,2.32699965126586,2.3345219436547766,2.3342647109839443,4.263892432392673e-16,0.8483279556003368,0.1286412449040162,14,104960.28125
524,Nepal,0.015802832405464082,0.2990400275288838,18.923191732735578,0.3153846153846154,0.22339548917172966,0.0007124226101596455,2.102302548185329,1.878907059013599,2.011191235024409,2.0104788124142488,1.9881244368687998e-06,0.2513739866295122,0.16686626639943877,17,93132.6015625
368,Iraq,0.675398607123567,1.2242578236779973,1.8126448748420563,0.8153846153846154,-0.15331929039970976,-0.14095029976389892,1.5527324770897342,1.7060517674894442,0.036689413977471504,0.17763971374137053,0.1692357979421309,1.5423372748651558,0.2966731757848281,6,1496.8966064453125
