country,sector,att,lnsize
Croatia,2512,0.02612879374011534,7.6816764
Croatia,2513,4.0182493470705145,3.1197772
Croatia,2593,-1.3758172965109468,9.895743
Croatia,2599,1.7321748797110748,8.006657
Croatia,2610,-0.560443139766942,9.023094
Croatia,2620,-1.1149514232343238,7.0431805
Croatia,2630,-0.577863744897414,8.025864
Croatia,2640,-1.0316188129064676,5.50604
Croatia,2651,1.4551615472162367,8.447546
Croatia,2652,3.2549473555377952,5.32041
Croatia,2660,0.8992824349732172,4.136574
Croatia,2710,-0.5792505660934621,9.293612
Croatia,2732,2.1508875246477905,4.364058
Croatia,2740,1.8628257270763613,6.4019094
Croatia,2750,0.7863074489790406,4.0501256
Croatia,2790,1.9193038628118217,7.254468
Croatia,2811,0.6835856585962824,9.199437
Croatia,2812,1.6232218568472512,5.5700326
Croatia,2813,0.17344522501386525,7.057513
Croatia,2814,3.603105468939245,4.7095513
Croatia,2816,-0.28075417903496813,6.929739
Croatia,2818,0.2673358859806473,2.8961146
Croatia,2819,1.3388707648736402,7.880697
Croatia,2822,0.26120343913625454,7.9420333
Croatia,2823,-0.480890017699271,4.9817967
Croatia,2824,-0.12232163657478091,6.694579
Croatia,2826,-1.8445744228546488,6.896371
Croatia,2829,1.459620716611123,10.463858
Croatia,2910,-5.086836080716125,7.1803155
Croatia,2930,1.7175112035401163,8.321816
Croatia,3012,1.2371135123916228,8.420603
Croatia,3020,-0.3980863479192906,5.145405
Croatia,3030,2.563073675836644,5.8625674
Croatia,3100,0.22078776118443955,7.6517706
Croatia,3211,0.026827206272731274,3.8949583
Croatia,3220,0.39292528591501813,4.460314
Croatia,3230,-3.05423124729439,5.5900373
Croatia,3240,1.089792318222276,3.882553
Croatia,3250,1.080061161562299,6.3152404
Croatia,3290,3.8083745010577355,4.460973
Ecuador,2011,-3.0155957331196612,8.045816
Ecuador,2029,5.007060878303647,9.365809
Ecuador,2100,2.543704445836581,4.933022
Ecuador,2410,-1.2348769845529108,6.5278635
Ecuador,2593,3.453745126596035,7.574424
Ecuador,2599,1.0518969382186198,7.6248627
Ecuador,2630,-0.9617121587553957,7.7188416
Ecuador,2640,-2.6945610564425353,6.396405
Ecuador,2740,-3.221274991527217,4.885203
Ecuador,2750,2.503252715652942,5.8988843
Ecuador,2819,0.008664686729135593,6.9794073
Ecuador,2824,-0.13622980587405387,8.392425
Ecuador,2910,0.6041080884628884,4.3775415
Hungary,1010,3.2520717030069504,9.199172
Hungary,1030,-0.6128355802873714,9.2555275
Hungary,1062,0.6514353571268047,7.1732426
Hungary,1073,0.07762602175495432,7.0128856
Hungary,1074,0.5711119424126861,5.1374207
Hungary,1079,0.07847860517301923,7.354741
Hungary,1101,0.12406433558744341,5.58998
Hungary,1102,0.3387908830558248,7.960539
Hungary,1104,-2.242834629640225,5.8128195
Hungary,1311,1.0255741027036012,7.3803263
Hungary,1312,3.504383522780311,5.160279
Hungary,1392,0.5519711681441893,7.2930393
Hungary,1393,0.09686786027831751,7.1659956
Hungary,1394,-0.28407913455819717,6.703141
Hungary,1399,2.5803374247018973,9.165581
Hungary,1410,-0.038078029786078486,10.252409
Hungary,1420,1.5816552079842012,4.4829836
Hungary,1430,-0.7075670626777448,5.5186825
Hungary,1511,-1.1005091710870878,5.432254
Hungary,1512,1.5865639429239948,8.858438
Hungary,1520,0.5005787983970532,8.012142
Hungary,1610,-0.10131910483908715,5.1810193
Hungary,1621,-8.172225547736167,7.2774773
Hungary,1622,-3.6006319742692177,6.552189
Hungary,1623,-0.14186017052022162,8.612998
Hungary,1629,1.0980217547714004,6.8362484
Hungary,1709,-1.6791901868224979,6.8408284
Hungary,1920,-1.7437942714881736,6.6465025
Hungary,2011,-1.4883461910106532,11.443263
Hungary,2013,2.5990076167753338,10.177222
Hungary,2021,-1.5404515697320662,6.867947
Hungary,2022,1.3188921073983237,6.492694
Hungary,2023,-0.49255903873075446,11.043611
Hungary,2029,0.17237861995050213,9.442891
Hungary,2030,1.2139985547526249,9.36909
Hungary,2100,2.510868082376736,10.750321
Hungary,2211,0.7460292466792421,10.567096
Hungary,2219,0.041525420486331,10.362598
Hungary,2220,0.4147143297830555,11.208443
Hungary,2310,0.36489291093004744,9.231711
Hungary,2391,1.5634165884660232,7.719468
Hungary,2392,-0.9659722143081092,3.85148
Hungary,2393,0.4561637395192146,9.362595
Hungary,2395,-5.7996583096125764,7.2938066
Hungary,2396,1.3688553425105796,4.213835
Hungary,2399,0.49022223192297965,10.5398245
Hungary,2410,0.39225707577749674,7.558486
Hungary,2420,2.202233606571802,8.8859625
Hungary,2431,0.7337695131280159,6.507248
Hungary,2511,0.6986915366183786,7.536678
Hungary,2512,0.32713556454033416,6.6788964
Hungary,2513,1.7326997467265792,5.984505
Hungary,2593,0.316965184356385,9.976492
Hungary,2599,0.3284577822198947,9.753001
Hungary,2610,0.5560079745518756,11.2393055
Hungary,2620,-0.4153418877484128,13.035719
Hungary,2630,0.1703160630604603,11.181579
Hungary,2640,-0.697514352157962,11.195773
Hungary,2651,-0.6932561831721457,12.74511
Hungary,2652,2.5259847499942913,5.654117
Hungary,2660,0.06858879775083324,9.373964
Hungary,2670,0.26345685638513444,7.8733788
Hungary,2680,2.6112382510389294,2.0810652
Hungary,2710,-0.5115637737376996,12.79961
Hungary,2720,5.9237528983296075,5.771304
Hungary,2731,-3.5988519120239792,10.527696
Hungary,2732,-0.3906421482169957,9.738914
Hungary,2740,-0.4674896284324432,12.251307
Hungary,2750,0.7755311527488777,10.40474
Hungary,2790,-1.050904791118114,11.415485
Hungary,2811,-2.4284130246838016,12.720962
Hungary,2812,0.19604117178238326,9.138015
Hungary,2813,0.7850053086155135,12.311906
Hungary,2814,1.7312546531163597,10.228692
Hungary,2815,0.27994890456035953,7.4887943
Hungary,2816,-0.30476467517674866,10.134727
Hungary,2817,-1.1272247112902305,11.433277
Hungary,2818,1.6629811260875809,9.431631
Hungary,2819,0.5997187422048036,11.377267
Hungary,2821,1.5293694793684143,9.581249
Hungary,2822,1.954687996253607,7.7018414
Hungary,2823,1.074159180870253,4.407605
Hungary,2824,-0.7689726192046019,9.256307
Hungary,2825,-0.5707623075573416,8.457186
Hungary,2826,-1.664268861902533,6.791253
Hungary,2829,0.4946532526122673,10.761631
Hungary,2910,-2.3726137606213373,14.315159
Hungary,2920,0.7272446014720633,8.977893
Hungary,2930,-0.02645330044962638,12.3923025
Hungary,3020,-0.8583038238021159,9.052544
Hungary,3030,0.06987157459825864,8.155761
Hungary,3091,1.1152335596264,5.993285
Hungary,3092,1.391211117149249,5.5210247
Hungary,3099,2.4488091637020353,5.934941
Hungary,3100,1.6840836154407108,10.364769
Hungary,3211,5.4649203687922805,5.7847877
Hungary,3220,0.17615817369220949,4.89917
Hungary,3230,-0.32562612991771395,10.129396
Hungary,3240,0.062034620041315894,10.113968
Hungary,3250,0.2870345630741875,10.325803
Hungary,3290,1.7745952877808728,8.107967
Hungary,Wastes,1.8756791422860617,4.9728575
Indonesia,1010,3.1873068990313276,3.7110975
Indonesia,1020,0.03659043515903436,14.373462
Indonesia,1030,0.1031481192291656,11.782861
Indonesia,1040,-1.0514612320977217,13.843939
Indonesia,1050,1.5526180151454783,7.436111
Indonesia,1061,1.5429459654793345,7.065434
Indonesia,1062,-0.6605954203589748,8.556742
Indonesia,1072,2.47313887335947,6.908143
Indonesia,1073,-0.36184781311419073,12.572587
Indonesia,1079,-0.9009150704730915,11.519744
Indonesia,1311,0.26982844674317885,11.24664
Indonesia,1312,0.4392451185415088,10.807431
Indonesia,1392,0.6542881640271404,10.572891
Indonesia,1393,0.6295976059032332,9.361604
Indonesia,1399,-0.7011909528162962,9.842109
