i,name,pre,fit_x,tau_scm,tau_aug,corr,lam,imb,p_scm,p_aug,val,credible,outcome
218,Ecuador,0.1047912832846529,0.2504200134857438,0.8586241987204772,0.8620673878820045,-0.003443189161527338,100.0,0.07362592253235434,0.27522935779816515,0.3486238532110092,1600545.125,True,"C. log US exports, decoupling sectors"
288,Ghana,0.23118117333795882,0.5524542760649663,0.22909955306234586,0.3848629727049532,-0.15576341964260734,1.0,0.18221248991955138,0.6788990825688074,0.5779816513761468,104960.28125,True,"C. log US exports, decoupling sectors"
348,Hungary,0.1812055922799819,0.43302749465509194,0.17903029190286368,0.07463452278080217,0.10439576912206151,1.0,0.13389005404482743,0.7614678899082569,0.8623853211009175,5330711.5,True,"C. log US exports, decoupling sectors"
360,Indonesia,1.110306491604642,2.653302430180887,0.6161489486694336,-0.49256033425252266,1.1087092829219563,0.1,1.107469992204146,0.3761467889908257,0.5321100917431193,18201104.0,False,"C. log US exports, decoupling sectors"
368,Iraq,0.6369477737051268,1.5221158199549638,0.7569172800651094,0.8586219406003185,-0.10170466053520914,10.0,0.5000549978754864,0.30275229357798167,0.3486238532110092,1496.8966064453125,True,"C. log US exports, decoupling sectors"
404,Kenya,1.6578399030318176,3.961744506427218,0.4777975082397461,0.7538206499728854,-0.27602314173313935,0.1,1.373767072504217,0.46788990825688076,0.42201834862385323,429425.90625,False,"C. log US exports, decoupling sectors"
458,Malaysia,1.549791328303577,3.703540534756569,0.8145112991333008,-0.5790560703594647,1.3935673694927655,1.0,1.525796283375133,0.30275229357798167,0.47706422018348627,35231488.0,False,"C. log US exports, decoupling sectors"
484,Mexico,3.215828196562562,7.684873351188099,2.7383604049682617,-0.4359468185944406,3.1743072235627023,1.0,3.2143865932117808,0.045871559633027525,0.5688073394495413,271554752.0,False,"C. log US exports, decoupling sectors"
504,Morocco,0.07813382830542365,0.1867166211218881,0.4420974444523029,0.847026941197988,-0.4049294967456852,0.0001,0.05845376918391471,0.4954128440366973,0.3577981651376147,941007.0625,True,"C. log US exports, decoupling sectors"
508,Mozambique,0.8744093909014231,2.089578489718375,-0.04463178720295158,0.33218921721628636,-0.37682100441923794,10.0,0.7786862198268139,0.944954128440367,0.6422018348623854,111626.125,False,"C. log US exports, decoupling sectors"
524,Nepal,0.2771969503652445,0.6624183030578249,-0.7447908784023127,-0.7024637207436565,-0.04232715765865622,10.0,0.2487535672546738,0.30275229357798167,0.44036697247706424,93132.6015625,True,"C. log US exports, decoupling sectors"
566,Nigeria,1.5434003896509836,3.6882680913490233,-0.9558614734169115,-1.986570641482953,1.0307091680660414,1.0,1.218852486172491,0.24770642201834864,0.13761467889908258,399434.15625,False,"C. log US exports, decoupling sectors"
586,Pakistan,0.25081503455311366,0.5993733673878643,0.44438266842623797,0.17403787331138604,0.27034479511485193,1.0,0.23963101007056717,0.48623853211009177,0.7706422018348624,3743190.75,True,"C. log US exports, decoupling sectors"
604,Peru,0.20011345556568813,0.47821166675966814,-0.004982192764703797,-0.011035213967186706,0.006053021202482909,100.0,0.14547973978367715,1.0,0.981651376146789,4102768.0,True,"C. log US exports, decoupling sectors"
608,Philippines,0.3410419444862463,0.8149888584288175,0.15953618575626116,-0.31733969343261165,0.4768758791888728,1.0,0.32122088966969464,0.7798165137614679,0.6513761467889908,10618337.0,True,"C. log US exports, decoupling sectors"
616,Poland,0.16662310967705338,0.3981796964831633,0.38260859739185626,0.13777239104107125,0.244836206350785,1.0,0.14429155580273623,0.5504587155963303,0.8073394495412844,6052428.0,True,"C. log US exports, decoupling sectors"
634,Qatar,0.43559598021290996,1.040944893698312,0.9459866633393714,1.2701416314076126,-0.3241549680682412,1.0,0.31372175414502196,0.24770642201834864,0.23853211009174313,733645.0,True,"C. log US exports, decoupling sectors"
642,Romania,0.18864974530342238,0.45081680729721435,0.324075363142585,0.06279662649859585,0.26127873664398915,1.0,0.1619827210790503,0.5871559633027523,0.8715596330275229,2028950.0,True,"C. log US exports, decoupling sectors"
643,Russia,0.14093547723675534,0.3367938916672931,-0.14747244326664521,-0.029536166692494523,-0.11793627657415069,1.0,0.11450427426415838,0.8256880733944955,0.9541284403669725,7965560.5,True,"C. log US exports, decoupling sectors"
682,Saudi Arabia,0.11117455979949376,0.26567414666195033,0.23645493975751108,0.0852679256006719,0.1511870141568392,1.0,0.09186790903813198,0.6605504587155964,0.8440366972477065,1478579.625,True,"C. log US exports, decoupling sectors"
688,Serbia,0.30595957570681487,0.7311524267382848,1.3392860349240472,0.9018229603792085,0.4374630745448387,1.0,0.22876224233339215,0.13761467889908258,0.3302752293577982,302450.90625,True,"C. log US exports, decoupling sectors"
699,India,1.1091226502814113,2.6504734013644056,0.906764030456543,-0.10017754821119307,1.006941578667736,100.0,1.1023479808460583,0.26605504587155965,0.8256880733944955,44272352.0,False,"C. log US exports, decoupling sectors"
704,Vietnam,1.7287488339694959,4.131195770741238,2.237473487854004,0.18298219413233285,2.054491293721671,1.0,1.6747094067660244,0.06422018348623854,0.7706422018348624,42132400.0,False,"C. log US exports, decoupling sectors"
710,South Africa,0.09178505529971703,0.21933899524361583,0.1372770065593567,0.5385917225292548,-0.4013147159698981,0.0001,0.07328179610905652,0.8348623853211009,0.5045871559633027,6633166.0,True,"C. log US exports, decoupling sectors"
764,Thailand,1.4074966264695572,3.3634985003878217,1.098139762878418,-0.35468584722575325,1.4528256101041712,1.0,1.4050215807828037,0.1926605504587156,0.6146788990825688,30043534.0,False,"C. log US exports, decoupling sectors"
784,UAE,0.1650292975884688,0.39437095941833583,0.4309176344765806,0.4790523510101393,-0.04813471653355873,1.0,0.14457037209171117,0.4954128440366973,0.5504587155963303,2599731.0,True,"C. log US exports, decoupling sectors"
788,Tunisia,0.10393625258730844,0.24837674431250445,-0.014870319840307289,-0.02303272608020484,0.00816240623989755,1.0,0.08741667191842417,0.981651376146789,0.9724770642201835,400593.125,True,"C. log US exports, decoupling sectors"
792,Turkiye,0.12287523428970255,0.29363528018172186,0.4567174957468545,0.12029319195612742,0.3364243037907271,0.1,0.10382401411388803,0.47706422018348627,0.8165137614678899,8030557.5,True,"C. log US exports, decoupling sectors"
804,Ukraine,0.08893393646462502,0.2125256688413256,0.5797026596719412,0.5719744723463823,0.007728187325558928,0.1,0.06652787654533267,0.3944954128440367,0.47706422018348627,670192.0,True,"C. log US exports, decoupling sectors"
818,Egypt,0.1065834103650894,0.25470266442372314,0.07544323372637862,0.201749212431838,-0.12630597870545937,1.0,0.07728133779004248,0.908256880733945,0.7431192660550459,1457169.125,True,"C. log US exports, decoupling sectors"
12,Algeria,0.5920397735689511,1.32513797455155,0.9568595101586719,-1.005000834228082,1.961860344386754,0.1,0.4725373944549812,0.29508196721311475,0.30327868852459017,125474.0859375,True,D. log US orientation
32,Argentina,0.23755549284837904,0.5317105685975237,0.10089121794960132,-0.29091823909534886,0.3918094570449502,0.0001,0.15911187780373262,0.9426229508196722,0.7295081967213115,3627914.75,True,D. log US orientation
50,Bangladesh,0.11444007867615097,0.2561464631848305,-0.2947117852804684,-0.0817308538174498,-0.21298093146301858,0.0001,0.09043940457394803,0.7704918032786885,0.9590163934426229,6199558.5,True,D. log US orientation
68,Bolivia,0.26921775020253147,0.6025788809189847,-1.086060629499557,-1.0800447557142632,-0.006015873785293821,10.0,0.18585072769698138,0.27049180327868855,0.27049180327868855,802726.5,True,D. log US orientation
76,Brazil,0.09157812798527011,0.2049755108513671,0.33184144042066976,0.09470220212974564,0.23713923829092412,0.1,0.07776552698471616,0.7213114754098361,0.9426229508196722,20568666.0,True,D. log US orientation
100,Bulgaria,0.11037072449229869,0.2470381971499053,0.34000228594226334,0.4460856895619972,-0.10608340361973383,0.1,0.09203310780846125,0.7213114754098361,0.6721311475409836,573555.3125,True,D. log US orientation
152,Chile,0.1969663925702402,0.44086167544426924,0.556151057273589,0.47535419048934296,0.0807968667842461,10.0,0.17585142192993305,0.5819672131147541,0.6557377049180327,7215728.0,True,D. log US orientation
170,Colombia,0.0868249883473215,0.19433675630516029,0.46794218759611145,0.3900793017915894,0.07786288580452207,1.0,0.07459248070389463,0.6311475409836066,0.680327868852459,2939266.0,True,D. log US orientation
191,Croatia,0.0943903128680943,0.21126990718427852,0.3006191869116006,0.4904494741548677,-0.1898302872432671,0.1,0.07677377637561224,0.7622950819672131,0.6311475409836066,500533.375,True,D. log US orientation
218,Ecuador,0.1399294945208494,0.31319836137290397,0.06811855414747481,0.07216066852934783,-0.0040421143818730135,1.0,0.11471742520218706,0.9672131147540983,0.9754098360655737,1600545.125,True,D. log US orientation
288,Ghana,0.32533655542874645,0.7281872660506614,0.37107153344049326,0.5685239464549962,-0.19745241301450286,10.0,0.2883011856974104,0.7049180327868853,0.5737704918032787,104960.28125,True,D. log US orientation
348,Hungary,0.23195225196281313,0.519169067824251,0.20851805963917802,0.378854959263015,-0.17033689962383697,0.1,0.16179717336865174,0.8524590163934426,0.680327868852459,5330711.5,True,D. log US orientation
360,Indonesia,0.15366808067261417,0.34394886672595565,-0.12333891836411037,-0.09320964857504924,-0.030129269789061133,0.1,0.11630479508846796,0.9180327868852459,0.9426229508196722,18201104.0,True,D. log US orientation
368,Iraq,0.8481185788459864,1.8983085021071122,0.8767027091724273,1.7845884620536199,-0.9078857528811926,1.0,0.7508902436240696,0.3360655737704918,0.10655737704918032,1496.8966064453125,True,D. log US orientation
404,Kenya,0.349895492396755,0.7831565121111811,0.3151789646339593,0.22261771395896524,0.09256125067499406,10.0,0.269108595522309,0.7459016393442623,0.819672131147541,429425.90625,True,D. log US orientation
458,Malaysia,0.15043911876062563,0.3367216157219177,-0.022553798349624565,0.22995132553410746,-0.25250512388373203,0.01,0.12967392849206358,1.0,0.8114754098360656,35231488.0,True,D. log US orientation
484,Mexico,0.4518868443267523,1.0114395085449512,1.0401421785354614,0.5980272755731484,0.44211490296231304,0.1,0.3803019740364768,0.28688524590163933,0.5491803278688525,271554752.0,True,D. log US orientation
504,Morocco,0.14611970273871355,0.32705364668663217,-0.003996628881637987,0.16448632480965766,-0.16848295369129565,0.1,0.11775103333518279,1.0,0.8688524590163934,941007.0625,True,D. log US orientation
508,Mozambique,1.0139508128204988,2.2694838866925724,-0.40687964782270347,-1.8099815304827829,1.4031018826600794,10.0,0.8383679412411577,0.6967213114754098,0.09836065573770492,111626.125,False,D. log US orientation
524,Nepal,0.4077996430360443,0.9127609615449138,-0.005048050537880044,-0.4085253504576738,0.40347729991979375,10.0,0.37465747555795476,1.0,0.680327868852459,93132.6015625,True,D. log US orientation
566,Nigeria,0.5743089001765993,1.2854516988938645,-0.07736520065835317,-0.13550976744854176,0.05814456679018858,10.0,0.4200883537794607,0.9672131147540983,0.8934426229508197,399434.15625,True,D. log US orientation
586,Pakistan,0.1142760051010378,0.2557792241331495,0.09400181598116461,0.050595496538024004,0.043406319443140606,1.0,0.08967977335904118,0.9508196721311475,0.9836065573770492,3743190.75,True,D. log US orientation
604,Peru,0.13500039154009438,0.30216575540304,-0.2319350677565492,-0.6641196222429351,0.4321845544863859,0.0001,0.09806426112918408,0.819672131147541,0.48360655737704916,4102768.0,True,D. log US orientation
608,Philippines,0.14708618974703522,0.3292168943159548,0.022095844096750528,0.02654976890025938,-0.004453924803508851,0.01,0.11942209002970629,1.0,1.0,10618337.0,True,D. log US orientation
616,Poland,0.21249124843513004,0.4756103139216956,0.35994452443919167,0.5979152497291333,-0.23797072528994168,0.1,0.11847543341690425,0.7131147540983607,0.5491803278688525,6052428.0,True,D. log US orientation
634,Qatar,0.2829266950666792,0.633263041412131,0.012267726447118488,0.42211667177572326,-0.4098489453286048,0.1,0.24452770330003235,1.0,0.680327868852459,733645.0,True,D. log US orientation
642,Romania,0.16480681251425167,0.3688802264262027,0.13987796402816,0.2263053864769189,-0.08642742244875891,0.1,0.11677688503176555,0.9180327868852459,0.819672131147541,2028950.0,True,D. log US orientation
643,Russia,0.12546505401305638,0.28082320643698994,0.015504167028591809,0.12353868319925806,-0.10803451617066626,0.1,0.09017838922741173,1.0,0.9016393442622951,7965560.5,True,D. log US orientation
682,Saudi Arabia,0.20077052214694593,0.449376300284116,0.39129951352252856,0.7204176727512945,-0.32911815922876597,0.1,0.1516250815166703,0.6967213114754098,0.4672131147540984,1478579.625,True,D. log US orientation
688,Serbia,0.5326908895849425,1.1922998386263717,0.008998432007516266,-0.10298555809271302,0.11198399010022929,0.1,0.3866365549445009,1.0,0.9262295081967213,302450.90625,True,D. log US orientation
699,India,0.06655391567246811,0.14896485835916184,0.23103350895192262,-0.10833162502647944,0.33936513397840207,0.001,0.05170748289907546,0.819672131147541,0.9262295081967213,44272352.0,True,D. log US orientation
704,Vietnam,0.1816559382279587,0.4065929229679087,0.11992529534391716,0.3998370336406589,-0.27991173829674176,0.0001,0.16535046016294758,0.9262295081967213,0.680327868852459,42132400.0,True,D. log US orientation
710,South Africa,0.1127555278261963,0.2523760031566445,0.2733652385877088,0.4097938031424293,-0.1364285645547205,0.1,0.09567356731762766,0.8032786885245902,0.680327868852459,6633166.0,True,D. log US orientation
764,Thailand,0.19373718854538227,0.43363388252907653,0.4262532420951879,0.33281744694291754,0.09343579515227035,0.1,0.12175584729524552,0.6885245901639344,0.6967213114754098,30043534.0,True,D. log US orientation
784,UAE,0.2699515900246262,0.6042214040380546,0.5046600917683763,0.3159014246987786,0.1887586670695978,1.0,0.19638774698436975,0.6229508196721312,0.7213114754098361,2599731.0,True,D. log US orientation
788,Tunisia,0.14558271956478785,0.32585173960668273,0.33886948076289825,0.2893473480005524,0.04952213276234586,0.01,0.13472448840864756,0.7213114754098361,0.7377049180327869,400593.125,True,D. log US orientation
