k,n_tr,n_don,rmse_in5,rmse_hold,pre_rmse,tau,plac,ratio,p_rank,n_plac
2819,26,41,0.0006185047883388944,0.006115501157276503,0.0019162570111647852,0.12444091,-0.00080791116,64.939575,0.0196078431372549,50
2821,13,13,0.08635093314150731,0.30959660954124957,0.09977309284822915,-0.39032096,0.103511214,3.9120862,,0
2822,17,20,0.0030297552937217508,0.20731541204603018,0.04171390365741262,0.86456,-0.0016874075,20.725943,,0
2823,9,7,0.12261782654509784,0.22381377387822068,0.16772954029674272,0.6577183,0.08464354,3.9213028,,0
2826,16,12,0.003931862776478077,0.23085930011168918,0.10793198347223881,0.9747981,0.14002335,9.031596,,0
2920,11,17,0.12653138719561335,0.046189778122006184,0.1336129500146021,0.15889221,-0.077668674,1.1891978,0.49019607843137253,50
3020,9,6,0.5949737648929171,0.6383303579999837,0.5343172784371765,1.1768693,-0.03226855,2.2025664,,0
3100,18,53,0.012676408503023947,0.037875989716759886,0.029979703964482633,-0.26559165,-0.023128286,8.859049,0.21568627450980393,50
3211,20,51,0.09200098259463757,0.2260880766809339,0.09873209190757468,0.20064539,-0.04625359,2.0322206,0.5490196078431373,50
Wastes,13,19,0.005792089195026796,0.39676259821569987,0.06674078976916163,-0.18391818,-0.023239389,2.7557087,0.39215686274509803,50
