measure,spec,term,N,treated_obs,sd,tol,coef,se,p
frac_policies,with,IPxUS_dev,16886001,8858,1.4106706380844116,1e-06,-0.021283863866085523,0.022149016449600784,0.33658260948737384
frac_policies,with,IPxUS_adv,16886001,8858,1.4106706380844116,1e-06,-0.0069382747939204,0.010005581724912956,0.48803320365883196
frac_policies,with,IPxUS_chn,16886001,8858,1.4106706380844116,1e-06,-0.02248097119082312,0.00898238262994872,0.012322042354208973
frac_policies,with,Dec_US_chn,16886001,8858,1.4106706380844116,1e-06,-0.3121454966183867,0.09222559409726831,0.0007128556558655408
frac_policies,with,Adv_Dec_US,16886001,8858,1.4106706380844116,1e-06,-0.1295516135494717,0.07451247695956031,0.0820951755399959
frac_policies,without,DDD_dev,16886001,8858,1.4106706380844116,1e-06,-0.005291765944832696,0.017942898165885273,0.7680530170550228
frac_policies,without,DDD_adv,16886001,8858,1.4106706380844116,1e-06,-0.022105267590869355,0.046996092584753436,0.6380950178030234
frac_policies,without,IPxUS_chn,16886001,8858,1.4106706380844116,1e-06,-0.02222794485185778,0.008926736905754924,0.012772820028182474
frac_policies,without,Dec_US_chn,16886001,8858,1.4106706380844116,1e-06,-0.31760741601647796,0.09160666742347107,0.0005261501543627478
frac_policies,without,Adv_Dec_US,16886001,8858,1.4106706380844116,1e-06,-0.13285994602519005,0.0736990263269637,0.07142956167822345
frac_sub,with,DDD_dev,16886001,847,271.04046630859375,1e-06,-0.017223221167863942,0.025564518764816965,0.5004919910478882
frac_sub,with,DDD_adv,16886001,847,271.04046630859375,1e-06,0.023141533277423867,0.008694638180037443,0.0077773310413726815
frac_sub,with,IPxUS_dev,16886001,847,271.04046630859375,1e-06,0.01870217448831406,0.01696782395556437,0.27036861171961935
frac_sub,with,IPxUS_adv,16886001,847,271.04046630859375,1e-06,-0.0027567225434430155,0.007355406213086195,0.7078176784143531
frac_sub,with,IPxUS_chn,16886001,847,271.04046630859375,1e-06,-0.042449437061355184,0.024689433405028844,0.0855531687138793
frac_sub,with,Dec_US_chn,16886001,847,271.04046630859375,1e-06,-0.36663846838632497,0.08555623285573549,1.8245108545311695e-05
frac_sub,with,Adv_Dec_US,16886001,847,271.04046630859375,1e-06,-0.15148917608032286,0.06864645830379185,0.02732786005257659
frac_sub,without,DDD_dev,16886001,847,271.04046630859375,1e-06,0.0012684530539627782,0.020553179124098618,0.9507892673458787
frac_sub,without,DDD_adv,16886001,847,271.04046630859375,1e-06,0.020403951141760447,0.005098904609535823,6.29064958295178e-05
frac_sub,without,IPxUS_chn,16886001,847,271.04046630859375,1e-06,-0.042372835661244494,0.02465691172238363,0.08570595064984898
frac_sub,without,Dec_US_chn,16886001,847,271.04046630859375,1e-06,-0.36582103676053024,0.08550261275852149,1.88175691873127e-05
