meas,tag,fe,b,s,t
vol,event,sector x year,0.047840749778442236,0.056605069856452514,2007.0
vol,event,sector x year,0.008468393714764611,0.048302662156012206,2008.0
vol,event,sector x year,-0.02947535427259636,0.044446066323913756,2009.0
vol,event,sector x year,-0.025076713827391576,0.04145796815743025,2010.0
vol,event,sector x year,-0.00274305687503053,0.03587058405971745,2011.0
vol,event,sector x year,-0.01624514811398294,0.03181349664731633,2012.0
vol,event,sector x year,-0.00513488743045709,0.022660432319620144,2013.0
vol,event,sector x year,0.0016897640822432678,0.015650142962651672,2014.0
vol,event,sector x year,-0.003935411968008639,0.011394364454178683,2015.0
vol,event,sector x year,-0.008995351652720772,0.01059640645370724,2016.0
vol,event,sector x year,0.002536392501817789,0.01016827147116988,2018.0
vol,event,sector x year,0.013830727995717208,0.015575818296136378,2019.0
vol,event,sector x year,0.031468571410237504,0.020134788424539442,2020.0
vol,event,sector x year,0.05809032257241999,0.02867528215065456,2021.0
vol,event,sector x year,0.058938374002361626,0.04469033786914208,2022.0
vol,event,sector x year,0.00150337353386101,0.07564275505753316,2023.0
vol,event,sector x year,-0.00356803383950335,0.08786506704141495,2024.0
vol,event,sector x year,0.0,0.0,2017.0
vol,event,+ country x year,0.019334466653831584,0.021234164604810344,2007.0
vol,event,+ country x year,-0.0214044016642696,0.03125862230673194,2008.0
vol,event,+ country x year,-0.029005875069503428,0.0345034174527419,2009.0
vol,event,+ country x year,-0.038473488617280935,0.04214905600732758,2010.0
vol,event,+ country x year,-0.02386779696964204,0.03421781127416292,2011.0
vol,event,+ country x year,-0.021931909520031632,0.030778508138847343,2012.0
vol,event,+ country x year,-0.005881107847307579,0.023000215637401743,2013.0
vol,event,+ country x year,0.004790105787559184,0.012914899862075889,2014.0
vol,event,+ country x year,0.005404521501901278,0.011408671469623204,2015.0
vol,event,+ country x year,-0.008177627949472502,0.011793200826341837,2016.0
vol,event,+ country x year,-0.009216846754278602,0.011662311342312038,2018.0
vol,event,+ country x year,-0.004486731254191532,0.019002615867879748,2019.0
vol,event,+ country x year,-0.010355309669503696,0.017923591687678642,2020.0
vol,event,+ country x year,-0.017733591734142885,0.018981812276250936,2021.0
vol,event,+ country x year,-0.02533932382261743,0.03471234667985807,2022.0
vol,event,+ country x year,-0.026928134012943444,0.028615008050220277,2023.0
vol,event,+ country x year,-0.01941111518080022,0.02898235278969254,2024.0
vol,event,+ country x year,0.0,0.0,2017.0
