K,i,name,pre,post,ratio,p,gap_pre,gap_post,g_US,g_RoW,g_US_pre,g_RoW_pre,w_max,n_pos
10,508,Mozambique,1.1431427728090764,1.366128254470376,1.1950635449615372,0.6721311475409836,0.0812051587196061,1.3120701221881441,2.0675146658894805,0.7554445437013363,1.2265084798691985,1.145303321149592,0.5564870165237247,5
10,524,Nepal,0.4126908895104029,0.2902433634434792,0.7032948165824796,0.9590163934426229,0.25013407771315294,-0.0474031441512965,-0.46507223223410193,-0.4176690880828056,0.0753442848954101,-0.17478979281774218,0.7882603741506298,3
10,566,Nigeria,0.5710028385574175,0.8265058308555253,1.4474636114657695,0.5327868852459017,-0.0057894450810498325,-0.045627552849571984,0.4417290808528832,0.4873566337024552,0.984769926948088,0.9905593720291381,0.7943131765205943,3
10,586,Pakistan,0.1077396709450489,0.20198121884854592,1.8747153864203243,0.4016393442622951,0.010534553977149207,0.001392411989856552,1.4934256415210891,1.4920332295312322,1.7059953665562284,1.6954608125790798,0.4494129459031217,5
10,604,Peru,0.1526510229916233,0.30374177085616016,1.9897788098860492,0.36065573770491804,0.005240570265458347,-0.21983822182257548,0.7517848142067572,0.9716230360293326,1.2191237230335794,1.213883152768121,0.25639909269830147,6
10,608,Philippines,0.1947129064027879,0.19085895714531742,0.9802070169426873,0.8360655737704918,0.002924558594222279,-0.13161558479244276,1.7623401320554937,1.8939557168479362,1.9360387978421805,1.9331142392479577,0.48518490974999423,5
10,616,Poland,0.33094637047035663,0.17844962276230183,0.5392100916794488,0.9836065573770492,-0.03651855749828676,0.037572671610441644,3.3731951495844683,3.3356224779740264,3.0219940999789454,3.0585126574772317,0.4500580522153228,4
10,634,Qatar,0.40839898585816803,0.5493470106911202,1.3451233468094403,0.5655737704918032,-0.044403140548311,-0.2669605268884404,1.035365851547695,1.3023263784361347,1.1875533090519304,1.2319564496002415,0.7554459930933547,3
10,642,Romania,0.21294343933038445,0.2144158005410589,1.006914329999104,0.8032786885245902,-0.016201204896580765,-0.02603586984874151,1.9936128870319805,2.019648756880722,1.6940196819964868,1.7102208868930668,0.3440369713367848,4
10,643,Russia,0.22236420251644687,0.3114111289046261,1.400455313312371,0.5491803278688525,-0.014144965668805439,-0.1555797263618613,1.8878092103347395,2.0433889366966005,2.527857655814456,2.5420026214832614,0.5339380801828387,3
10,682,Saudi Arabia,0.5054453452931091,0.5019572985872345,0.9930990625626359,0.8360655737704918,-0.23226208479668228,0.4477862165357075,1.8062713944110382,1.3584851778753309,1.3012843253219952,1.533546410118677,0.6818960799832654,3
10,688,Serbia,0.544386188594193,0.20287785891375693,0.37267267826478623,1.0,-0.03219665142442286,-0.18328535027533313,1.1923839264818539,1.375669276757187,0.8734100056121076,0.9056066570365302,0.5250891000870117,5
10,699,India,0.06035421672022143,0.2444924070032535,4.050958164806028,0.09016393442622951,-0.007142810732137603,0.23482389439275783,3.4824222155428104,3.2475983211500528,3.1713738010793793,3.1785166122325395,0.7063994871110655,5
10,704,Vietnam,0.1870148516898194,0.13979783732438647,0.7475226489297946,0.9180327868852459,0.015984537614372775,0.09965988459847781,3.100440281182448,3.0007803965839703,2.239673843382142,2.22368930576777,0.48125932886996053,4
10,710,South Africa,0.1769316606367189,0.3616309535711298,2.043901878667384,0.3442622950819672,-0.009442181537691411,0.29061638952704083,2.047488002298351,1.7568716127713095,2.134036833694179,2.1434790152318697,0.4322853545624849,5
10,764,Thailand,0.2199924217307065,0.33747938001715033,1.5340500248243099,0.5081967213114754,0.0010456841629965065,0.2762691370302548,3.2273400193228716,2.9510708822926177,3.1371603909297843,3.1361147067667874,0.36798903101324065,4
10,784,UAE,0.5995779713291536,0.8857483342958185,1.4772863191292336,0.5163934426229508,-0.3717115236071784,0.7519450738103808,2.984964170271566,2.2330190964611845,1.5678604457836656,1.939571969390844,0.5704619260782023,2
10,788,Tunisia,0.26318566910574714,0.26190766056554793,0.9951440800536684,0.819672131147541,-0.020990941078751577,0.11724351837391692,0.754330700815345,0.6370871824414284,0.6931638484691451,0.7141547895478964,0.5561978776324589,3
10,792,Turkiye,0.28125059225506593,0.139665358021485,0.4965868939213561,1.0,-0.029426465339597273,0.003728856826284908,3.1577369963539197,3.1540081395276345,2.78272495348724,2.8121514188268377,0.2844734786371836,5
10,804,Ukraine,0.3260304272161701,0.2254273941100481,0.6914305392747331,0.9672131147540983,-0.0063559110628856885,0.2063054638345993,1.339876278896503,1.133570815061904,1.9041624733611349,1.9105183844240197,0.3898269054396356,6
10,818,Egypt,0.21278366328679776,0.3524690788041987,1.6564668234380744,0.48360655737704916,-0.03437963637609396,0.2572711547348755,1.594453995583111,1.3371828408482356,1.3197455609088224,1.3541252001044373,0.4840035408289135,4
15,12,Algeria,0.8063265761661839,0.8791814406226621,1.0903540409183572,0.8032786885245902,0.010467964904228117,0.7509593503515385,1.949072475108918,1.1981131247573786,2.0643045380318186,2.0538365731275907,0.30019928892294284,4
