i,us_pre,us_post,tot_pre,Exposure,Alignment,IP_total,IP_sectors,ECI,meanPCI,Advanced,us_share_of_own,share_of_us_mkt,dlog_us,dshare_us,log_tot_pre,iso,mva_pc,log_mva_pc
32,3627914.5332874884,4108683.9663759074,46257337.401771106,0.057592687631224306,0.23679255412922753,1010.0,124.0,-0.8869596463504222,-1.0504091343759654,0,0.07842895283351485,0.0018314822480004576,0.12444479995687274,-0.0003491007401759405,17.64973065586446,32,1559.3333333333333,7.3520136584760145
116,3512135.814359962,12984659.333601957,16896980.86544801,0.3694724457290344,0.0,0.0,0.0,-0.11705661235052499,-0.7101803556636831,0,0.20785582006202033,0.0017730336085778938,1.307544262851481,0.0029117314011073312,16.642645516919114,116,391.0,5.968707559985366
188,3076350.34129305,7305494.004933914,9396991.728955109,0.17038598165555527,0.0,0.0,0.0,0.5590808716044554,0.19537145059497577,0,0.3273760826897229,0.001553035769451488,0.8648827282594027,0.0010827301612119907,16.055900167185513,188,1438.3333333333333,7.271240314849418
170,2939265.9996023774,5161394.21168264,13294048.603035428,0.1457408204367788,0.21894750172347072,388.0,100.0,-0.023376217585875825,-0.6840606852021298,0,0.22109637833964707,0.0014838313998386825,0.5630468488784643,0.0003783598508404493,16.402827019589875,170,656.3333333333334,6.486668789971016
144,2862432.609187572,3132164.0836118963,10254346.779578554,0.27123479063069983,0.0,0.0,0.0,0.03181687846669251,-0.578559830996949,0,0.2791433399627251,0.0014450435537339149,0.0900523401984934,-0.0003149828931877001,16.1432122497103,144,582.3333333333334,6.367043021465947
558,2643731.1856099037,3964720.0535500944,4462358.920457793,0.17596625125286824,0.0,0.0,0.0,-0.9404085514348239,-0.8692292745217144,0,0.5924514887159017,0.0013346363842100051,0.40524400096026447,9.580405345347809e-05,15.311188090107045,558,273.6666666666667,5.611910820784319
780,2620425.6605985127,2073019.7471525287,5878110.629197432,0.08045725866940803,0.0,0.0,0.0,-0.7164721777505911,-1.248798399117533,0,0.44579386573340024,0.0013228710421802922,-0.23433041116429187,-0.0005749414949864907,15.586745946674911,780,2651.0,7.8826922062890254
784,2599730.938924611,4892938.160717328,111487773.87106474,0.12906821825575043,0.213684292582053,118.0,103.0,-0.4330106205708461,-0.9183583858591968,0,0.023318529455357066,0.001312423713549671,0.6323850192671188,0.00045291066303758615,18.52942549147171,784,3818.3333333333335,8.247569306219486
320,2539013.5342419604,2919778.727396658,8170933.0201399075,0.180907103654268,0.0,0.0,0.0,-0.21168688610845338,-0.9048251058488407,0,0.31073728397769756,0.0012817717100913188,0.13973220187136626,-0.00022833804913005747,15.916093661067295,320,618.0,6.42648845745769
222,2415552.439583548,2296973.8509292775,5560947.761764204,0.2655367033662471,0.0,0.0,0.0,-0.25942394991845563,-0.5788450552057625,0,0.4343778332521535,0.0012194447723669376,-0.0503354747629281,-0.0003907143106328788,15.53127911244894,222,665.0,6.499787040655854
642,2028949.9186814874,3882921.2817035764,61297763.90929634,0.23039394033646873,0.22118621986258852,960.0,125.0,1.6016620808939885,0.2736273134546289,0,0.03309990102875155,0.0010242759921854667,0.6490694002181545,0.00037665207905111147,17.9312539224156,642,2000.6666666666667,7.601235737332202
400,1985040.370499492,3194535.4385989653,8137538.000427261,0.1838178380303924,0.0,0.0,0.0,-0.047002124399032175,-0.6924810780498889,0,0.2439362335875135,0.0010021091089044065,0.47580242291261676,0.00015045465580056962,15.911998235279427,400,724.0,6.584791392385716
591,1722616.3916836383,210207.73677908382,8217291.268666251,0.17683747057186858,0.0,0.0,0.0,0.3515180572468368,-0.583739741293154,0,0.2096331181848488,0.0008696294558582917,-2.1035033074576717,-0.0007937881245821328,15.921751183366295,591,978.6666666666666,6.886191101066297
218,1600545.239798109,2979060.846698532,7399368.152345074,0.15053897428774665,0.2311274135191488,443.0,122.0,-0.7459938481264842,-1.3252418626184879,0,0.2163083667205895,0.0008080042037692569,0.6212637526628786,0.0002668179889255022,15.816905169710674,218,827.0,6.717804695023691
682,1478579.7036941648,2694711.40354382,61991896.80850103,0.10148526988300423,0.205791683282987,153.0,107.0,-0.34858761293836266,-0.9061718785195205,0,0.023851177005627697,0.0007464322697579515,0.6002091454015321,0.00022579883543962453,17.942514237830736,682,3336.3333333333335,8.11262767855091
818,1457169.1437363971,2802806.6357550886,20889264.288641505,0.18866903901918428,0.26904033702559893,254.0,110.0,-0.15952253239389416,-0.7996017999231257,0,0.06975684368782341,0.0007356235640614402,0.6541256741651331,0.00027560746778547624,16.854745914561274,818,567.3333333333334,6.34094702046521
48,955371.0823701395,1326096.2356019495,8151710.819118287,0.15739313183894546,0.0,0.0,0.0,0.043749024222880586,-0.9702986956433738,0,0.11719884372363877,0.00048230055078732413,0.3278949110464371,-3.855249727587496e-06,15.9137383796439,48,4502.0,8.412277021466677
504,941007.0470436022,1663274.0242327582,24693104.919656213,0.17993552321896056,0.1723725926424215,23.0,15.0,-0.42614545469207377,-0.43875511143073176,0,0.038108089286679435,0.0004750491463044391,0.5695926142225112,0.0001250473021314121,17.022034609577386,504,502.3333333333333,6.219263909958386
332,914778.866244773,843288.0772079825,1080426.2397473906,0.34729494656928095,0.0,0.0,0.0,-0.3898848559505325,-0.8180454193430093,0,0.8466833112630189,0.00046180835821815714,-0.08137373160811201,-0.00015755651951452384,13.89286618767286,332,263.0,5.572154032177765
68,802726.484720031,254975.4071867126,3209920.319967426,0.058374194232068397,0.2948923510359601,52.0,32.0,-0.8614976754807153,-1.8183529806215033,0,0.2500767635030196,0.00040524088791924287,-1.146846941034168,-0.00031324772620206143,14.981756672358063,68,344.0,5.840641657373398
512,799164.8311206581,1782680.9867895653,10264322.363102868,0.12273013095827517,0.0,0.0,0.0,-0.3795295269295408,-0.7309317453755737,0,0.07785850861362399,0.00040344285621785454,0.802306461238091,0.00023973470399205103,16.144184591945645,512,1496.6666666666667,7.31099569206819
634,733645.0286711851,852533.338403086,13268564.705812868,0.06725199709436223,0.1661353042600643,12.0,7.0,-1.4758772488130762,-1.4021669630711895,0,0.055291966006675936,0.0003703664554433389,0.15018701555237435,-6.277899775737795e-05,16.400908239630617,634,4547.666666666667,8.422369559894765
862,686889.8890824814,317869.6914962232,3937919.7583916965,0.0771808687600741,0.0,0.0,0.0,-0.8338906686182056,-1.7839425210048165,0,0.17442963067460196,0.0003467630305627924,-0.770532477845876,-0.0002320780958177348,15.18616316173991,862,3051.6666666666665,8.023443168440501
804,670191.9938485922,940407.3506883035,30796507.88272418,0.11399238814171629,0.1962696988094405,151.0,99.0,0.29633662340493183,-0.6874126349911699,0,0.02176194769876969,0.0003383334221970938,0.33874890387225776,9.583018417864964e-07,17.24291186108472,804,345.6666666666667,5.8454749195614175
